Case,AoA,NumPan,CL,CD
1,-5.0,250,-0.6244423185266892,-6.268111650064076e-05
1,-5.0,500,-0.6261158558538069,-0.00014567397884009516
1,-5.0,1000,-0.6256241839512949,-0.0002064284171548937
1,-4.0,250,-0.49973912398008663,0.00027138895563426786
1,-4.0,500,-0.5010865319025078,0.0001370248513904259
1,-4.0,1000,-0.5008214003965831,0.0001142427949999548
1,-3.0,250,-0.3749055829354826,0.0005548656191228463
1,-3.0,500,-0.3759232547297673,0.0003767157276631501
1,-3.0,1000,-0.3758912982743919,0.0003862557402899461
1,-2.0,250,-0.24997751343515318,0.0007864190589108028
1,-2.0,500,-0.25066233584966,0.0005722511615243269
1,-2.0,1000,-0.25086979214489497,0.0006081359529800954
1,-1.0,250,-0.12499068246086481,0.0009648731709412993
1,-1.0,500,-0.12534004800936693,0.0007226140071683824
1,-1.0,1000,-0.12579273701778346,0.0007785539920452547
1,0.0,250,1.9198239975735086e-05,0.0010892109578149404
1,0.0,500,7.3802516529435945e-06,0.0008269220916569082
1,0.0,1000,-0.0006959237087694081,0.0008963311635940639
1,1.0,250,0.12501647597778712,0.0011585794916926376
1,1.0,500,0.1253437697439425,0.000884432480013495
1,1.0,1000,0.1243849254640395,0.0009604448541771654
1,2.0,250,0.24996556061282668,0.001172294420797795
1,2.0,500,0.25063299548700435,0.0008945453550100223
1,2.0,1000,0.2494141606373846,0.0009700334469230179
1,3.0,250,0.3748309277361551,0.0011298439971497145
1,3.0,500,0.3758389913014161,0.0008568074925319222
1,3.0,1000,0.37435620803164543,0.000924400797950904
1,4.0,250,0.49957712156154177,0.0010308926045458251
1,4.0,500,0.5009257541518983,0.0007709153145648672
1,4.0,1000,0.49917557327064344,0.0008230202517156825
1,5.0,250,0.6241687575518006,0.0008752837673013712
1,5.0,500,0.625857348260492,0.0006367175031037911
1,5.0,1000,0.6238368444134385,0.0006655381752461043
