#      x          Cp  
     1.00000    0.53044
     0.98969    0.31298
     0.97656    0.24179
     0.96204    0.18104
     0.94616    0.13205
     0.92905    0.08880
     0.91089    0.04971
     0.89187    0.01373
     0.87221   -0.01977
     0.85208   -0.05128
     0.83162   -0.08117
     0.81093   -0.10978
     0.79009   -0.13738
     0.76916   -0.16421
     0.74816   -0.19048
     0.72713   -0.21636
     0.70609   -0.24201
     0.68505   -0.26756
     0.66402   -0.29314
     0.64303   -0.31884
     0.62207   -0.34476
     0.60117   -0.37097
     0.58033   -0.39755
     0.55955   -0.42455
     0.53886   -0.45203
     0.51826   -0.48004
     0.49776   -0.50860
     0.47737   -0.53775
     0.45711   -0.56750
     0.43699   -0.59789
     0.41702   -0.62890
     0.39723   -0.66055
     0.37763   -0.69281
     0.35824   -0.72567
     0.33908   -0.75909
     0.32020   -0.79303
     0.30161   -0.82741
     0.28336   -0.86216
     0.26550   -0.89717
     0.24807   -0.93231
     0.23114   -0.96744
     0.21476   -1.00237
     0.19901   -1.03690
     0.18395   -1.07082
     0.16962   -1.10392
     0.15609   -1.13597
     0.14337   -1.16678
     0.13149   -1.19616
     0.12043   -1.22397
     0.11018   -1.25008
     0.10070   -1.27438
     0.09195   -1.29677
     0.08387   -1.31715
     0.07641   -1.33541
     0.06953   -1.35142
     0.06317   -1.36500
     0.05729   -1.37593
     0.05184   -1.38394
     0.04679   -1.38869
     0.04211   -1.38974
     0.03775   -1.38657
     0.03371   -1.37853
     0.02995   -1.36488
     0.02645   -1.34469
     0.02321   -1.31691
     0.02021   -1.28032
     0.01743   -1.23356
     0.01486   -1.17516
     0.01251   -1.10359
     0.01037   -1.01741
     0.00843   -0.91543
     0.00670   -0.79697
     0.00517   -0.66214
     0.00384   -0.51220
     0.00271   -0.34974
     0.00179   -0.17881
     0.00106   -0.00466
     0.00053    0.16666
     0.00019    0.32935
     0.00002    0.47769
     0.00002    0.60812
     0.00019    0.72287
     0.00053    0.82058
     0.00106    0.89811
     0.00179    0.95383
     0.00271    0.98738
     0.00384    0.99983
     0.00517    0.99339
     0.00670    0.97100
     0.00843    0.93586
     0.01037    0.89108
     0.01251    0.83947
     0.01486    0.78339
     0.01743    0.72473
     0.02021    0.66498
     0.02321    0.60522
     0.02645    0.54625
     0.02995    0.48862
     0.03371    0.43270
     0.03775    0.37873
     0.04211    0.32684
     0.04679    0.27710
     0.05184    0.22955
     0.05729    0.18418
     0.06317    0.14098
     0.06953    0.09994
     0.07641    0.06106
     0.08387    0.02434
     0.09195   -0.01017
     0.10070   -0.04245
     0.11018   -0.07241
     0.12043   -0.09999
     0.13149   -0.12507
     0.14337   -0.14759
     0.15609   -0.16746
     0.16962   -0.18464
     0.18395   -0.19912
     0.19901   -0.21095
     0.21476   -0.22022
     0.23114   -0.22705
     0.24807   -0.23162
     0.26550   -0.23411
     0.28336   -0.23472
     0.30161   -0.23364
     0.32020   -0.23106
     0.33908   -0.22717
     0.35824   -0.22214
     0.37763   -0.21611
     0.39723   -0.20923
     0.41702   -0.20161
     0.43699   -0.19337
     0.45711   -0.18459
     0.47737   -0.17535
     0.49776   -0.16573
     0.51826   -0.15577
     0.53886   -0.14551
     0.55955   -0.13499
     0.58033   -0.12422
     0.60117   -0.11322
     0.62207   -0.10197
     0.64303   -0.09046
     0.66402   -0.07867
     0.68505   -0.06656
     0.70609   -0.05406
     0.72713   -0.04111
     0.74816   -0.02761
     0.76916   -0.01346
     0.79009    0.00149
     0.81093    0.01741
     0.83162    0.03451
     0.85208    0.05304
     0.87221    0.07330
     0.89187    0.09569
     0.91089    0.12068
     0.92905    0.14893
     0.94616    0.18147
     0.96204    0.21989
     0.97656    0.26971
     0.98969    0.33080
     1.00000    0.53044
