  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 0018                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.000 e 6     Ncrit =   9.000  9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr  Top_Itr  Bot_Itr
  ------ -------- --------- --------- -------- -------- -------- -------- --------
   0.000  -0.0000   0.00000  -0.00172   0.0000   0.0000   0.0000   0.0000   0.0000
   0.500   0.0632   0.00000  -0.00172  -0.0012   0.0000   0.0000   0.0000   0.0000
   1.000   0.1265   0.00000  -0.00172  -0.0024   0.0000   0.0000   0.0000   0.0000
   1.500   0.1897   0.00000  -0.00172  -0.0036   0.0000   0.0000   0.0000   0.0000
   2.000   0.2529   0.00000  -0.00172  -0.0049   0.0000   0.0000   0.0000   0.0000
   2.500   0.3161   0.00000  -0.00173  -0.0061   0.0000   0.0000   0.0000   0.0000
   3.000   0.3792   0.00000  -0.00173  -0.0073   0.0000   0.0000   0.0000   0.0000
   3.500   0.4424   0.00000  -0.00173  -0.0085   0.0000   0.0000   0.0000   0.0000
   4.000   0.5055   0.00000  -0.00173  -0.0097   0.0000   0.0000   0.0000   0.0000
   4.500   0.5686   0.00000  -0.00174  -0.0109   0.0000   0.0000   0.0000   0.0000
   5.000   0.6316   0.00000  -0.00174  -0.0121   0.0000   0.0000   0.0000   0.0000
   5.500   0.6945   0.00000  -0.00175  -0.0133   0.0000   0.0000   0.0000   0.0000
   6.000   0.7575   0.00000  -0.00175  -0.0145   0.0000   0.0000   0.0000   0.0000
   6.500   0.8203   0.00000  -0.00175  -0.0156   0.0000   0.0000   0.0000   0.0000
   7.000   0.8831   0.00000  -0.00176  -0.0168   0.0000   0.0000   0.0000   0.0000
   7.500   0.9459   0.00000  -0.00177  -0.0180   0.0000   0.0000   0.0000   0.0000
   8.000   1.0085   0.00000  -0.00177  -0.0192   0.0000   0.0000   0.0000   0.0000
   8.500   1.0711   0.00000  -0.00178  -0.0203   0.0000   0.0000   0.0000   0.0000
   9.000   1.1336   0.00000  -0.00179  -0.0215   0.0000   0.0000   0.0000   0.0000
   9.500   1.1960   0.00000  -0.00179  -0.0226   0.0000   0.0000   0.0000   0.0000
  10.000   1.2583   0.00000  -0.00180  -0.0238   0.0000   0.0000   0.0000   0.0000
