Case_Name,Alpha_deg,Panel_XC,Cp_Solid,Cp_Porous,Leakage_Velocity
Large Pores,-5.0,0.999952,0.609977,0.767879,-1.169076
Large Pores,-5.0,0.999759,0.534904,0.632809,-1.036693
Large Pores,-5.0,0.999374,0.483559,0.536713,-0.944375
Large Pores,-5.0,0.998796,0.444799,0.464250,-0.875144
Large Pores,-5.0,0.998026,0.413378,0.405644,-0.819393
Large Pores,-5.0,0.997063,0.386752,0.355854,-0.772273
Large Pores,-5.0,0.995909,0.363511,0.311986,-0.731009
Large Pores,-5.0,0.994564,0.342794,0.272183,-0.693824
Large Pores,-5.0,0.993029,0.324036,0.235119,-0.659446
Large Pores,-5.0,0.991303,0.306846,0.199725,-0.626843
Large Pores,-5.0,0.989388,0.290942,0.164988,-0.595033
Large Pores,-5.0,0.987284,0.276114,0.129736,-0.562873
Large Pores,-5.0,0.984992,0.262199,0.092198,-0.528629
Large Pores,-5.0,0.982514,0.249072,0.048617,-0.488558
Large Pores,-5.0,0.979849,0.236632,-0.014605,-0.428219
Large Pores,-5.0,0.976999,0.224796,-0.019778,0.000000
Large Pores,-5.0,0.973966,0.213498,0.021094,0.000000
Large Pores,-5.0,0.970749,0.202680,0.033109,0.000000
Large Pores,-5.0,0.967352,0.192297,0.036751,0.000000
Large Pores,-5.0,0.963774,0.182308,0.036541,0.000000
Large Pores,-5.0,0.960017,0.172678,0.034230,0.000000
Large Pores,-5.0,0.956083,0.163377,0.030669,0.000000
Large Pores,-5.0,0.951973,0.154380,0.026326,0.000000
Large Pores,-5.0,0.947689,0.145664,0.021479,0.000000
Large Pores,-5.0,0.943232,0.137209,0.016304,0.000000
Large Pores,-5.0,0.938604,0.128996,0.010918,0.000000
Large Pores,-5.0,0.933808,0.121011,0.005398,0.000000
Large Pores,-5.0,0.928844,0.113238,-0.000201,0.000000
Large Pores,-5.0,0.923714,0.105665,-0.005839,0.000000
Large Pores,-5.0,0.918422,0.098279,-0.011491,0.000000
Large Pores,-5.0,0.912968,0.091071,-0.017134,0.000000
Large Pores,-5.0,0.907355,0.084029,-0.022755,0.000000
Large Pores,-5.0,0.901584,0.077145,-0.028344,0.000000
Large Pores,-5.0,0.895659,0.070411,-0.033892,0.000000
Large Pores,-5.0,0.889582,0.063818,-0.039395,0.000000
Large Pores,-5.0,0.883354,0.057359,-0.044849,0.000000
Large Pores,-5.0,0.876979,0.051027,-0.050253,0.000000
Large Pores,-5.0,0.870458,0.044815,-0.055603,0.000000
Large Pores,-5.0,0.863794,0.038717,-0.060902,0.000000
Large Pores,-5.0,0.856990,0.032727,-0.066148,0.000000
Large Pores,-5.0,0.850049,0.026840,-0.071343,0.000000
Large Pores,-5.0,0.842972,0.021049,-0.076487,0.000000
Large Pores,-5.0,0.835763,0.015351,-0.081583,0.000000
Large Pores,-5.0,0.828425,0.009739,-0.086632,0.000000
Large Pores,-5.0,0.820960,0.004209,-0.091636,0.000000
Large Pores,-5.0,0.813372,-0.001244,-0.096597,0.000000
Large Pores,-5.0,0.805662,-0.006624,-0.101518,0.000000
Large Pores,-5.0,0.797835,-0.011935,-0.106401,0.000000
Large Pores,-5.0,0.789893,-0.017182,-0.111248,0.000000
Large Pores,-5.0,0.781840,-0.022368,-0.116062,0.000000
Large Pores,-5.0,0.773677,-0.027497,-0.120845,0.000000
Large Pores,-5.0,0.765409,-0.032573,-0.125599,0.000000
Large Pores,-5.0,0.757039,-0.037599,-0.130328,0.000000
Large Pores,-5.0,0.748570,-0.042579,-0.135033,0.000000
Large Pores,-5.0,0.740004,-0.047516,-0.139717,0.000000
Large Pores,-5.0,0.731347,-0.052412,-0.144381,0.000000
Large Pores,-5.0,0.722600,-0.057271,-0.149029,0.000000
Large Pores,-5.0,0.713767,-0.062095,-0.153662,0.000000
Large Pores,-5.0,0.704852,-0.066886,-0.158281,0.000000
Large Pores,-5.0,0.695858,-0.071647,-0.162889,0.000000
Large Pores,-5.0,0.686788,-0.076380,-0.167488,0.000000
Large Pores,-5.0,0.677647,-0.081086,-0.172078,0.000000
Large Pores,-5.0,0.668437,-0.085767,-0.176661,0.000000
Large Pores,-5.0,0.659162,-0.090425,-0.181239,0.000000
Large Pores,-5.0,0.649825,-0.095060,-0.185811,0.000000
Large Pores,-5.0,0.640431,-0.099673,-0.190379,0.000000
Large Pores,-5.0,0.630983,-0.104265,-0.194942,0.000000
Large Pores,-5.0,0.621484,-0.108835,-0.199502,0.000000
Large Pores,-5.0,0.611939,-0.113386,-0.204058,0.000000
