--- POLAR SUMMARY ---
Alpha_deg,CL_Solid,CD_Solid,Large Pores_CL,Large Pores_CD,Large Pores_DeltaCL,Large Pores_PctChange,Small Pores_CL,Small Pores_CD,Small Pores_DeltaCL,Small Pores_PctChange
-5.00,-0.230540,0.033361,-0.053822,0.030379,0.176718,76.65,-0.184180,0.032808,0.046360,20.11
-4.00,-0.184806,0.029255,-0.018353,0.028355,0.166453,90.07,-0.141043,0.029214,0.043763,23.68
-3.00,-0.138823,0.026049,0.017379,0.027026,0.156202,112.52,-0.097655,0.026471,0.041169,29.66
-2.00,-0.092653,0.023752,0.053336,0.026400,0.145989,157.57,-0.054071,0.024587,0.038582,41.64
-1.00,-0.046357,0.022371,0.089481,0.026485,0.135838,293.03,-0.010348,0.023571,0.036009,77.68
0.00,0.000002,0.021910,0.125777,0.027285,0.125775,7790520.24,0.033459,0.023426,0.033457,2072328.64
1.00,0.046360,0.022371,0.162185,0.028804,0.115825,249.84,0.077292,0.024154,0.030932,66.72
2.00,0.092656,0.023752,0.198667,0.031044,0.106011,114.41,0.121095,0.025754,0.028439,30.69
3.00,0.138826,0.026049,0.235183,0.034005,0.096356,69.41,0.164812,0.028223,0.025985,18.72
4.00,0.184809,0.029255,0.271694,0.037686,0.086885,47.01,0.208386,0.031555,0.023576,12.76
5.00,0.230543,0.033361,0.308162,0.042082,0.077619,33.67,0.251761,0.035741,0.021218,9.20
6.00,0.275966,0.038353,0.344545,0.047190,0.068579,24.85,0.294881,0.040771,0.018915,6.85
7.00,0.321019,0.044216,0.380806,0.053000,0.059787,18.62,0.337691,0.046630,0.016673,5.19
8.00,0.365640,0.050932,0.416903,0.059505,0.051263,14.02,0.380138,0.053303,0.014497,3.96
9.00,0.409773,0.058481,0.452798,0.066693,0.043025,10.50,0.422166,0.060772,0.012393,3.02
10.00,0.453360,0.066840,0.488451,0.074552,0.035091,7.74,0.463724,0.069015,0.010364,2.29
