--- GLOBAL RESULTS ---
Metric,Solid_Baseline,Porous_Result,Change_Percent
CL,-0.046357,-0.046346,0.02%
CD,0.022371,0.022373,0.01%

--- PANEL DISTRIBUTION DATA ---
Panel_ID,XC,YC,Cp_Solid,Cp_Porous,V_leakage
0,0.999952,0.000011,0.607098,0.607107,0.000000
1,0.999759,0.000053,0.531428,0.531438,0.000000
2,0.999374,0.000136,0.479612,0.479623,0.000000
3,0.998796,0.000262,0.440439,0.440451,0.000000
4,0.998026,0.000430,0.408628,0.408641,0.000000
5,0.997063,0.000639,0.381619,0.381634,0.000000
6,0.995909,0.000889,0.357996,0.358012,0.000000
7,0.994564,0.001181,0.336891,0.336909,0.000000
8,0.993029,0.001513,0.317738,0.317757,0.000000
9,0.991303,0.001885,0.300142,0.300163,0.000000
10,0.989388,0.002298,0.283821,0.283844,0.000000
11,0.987284,0.002750,0.268563,0.268588,0.000000
12,0.984992,0.003240,0.254207,0.254235,0.000000
13,0.982514,0.003769,0.240625,0.240656,0.000000
14,0.979849,0.004336,0.227717,0.227752,0.000000
15,0.976999,0.004941,0.215400,0.215439,0.000000
16,0.973966,0.005582,0.203608,0.203652,0.000000
17,0.970749,0.006258,0.192284,0.192334,0.000000
18,0.967352,0.006970,0.181381,0.181439,0.000000
19,0.963774,0.007716,0.170858,0.170926,0.000000
20,0.960017,0.008497,0.160682,0.160763,0.000000
21,0.956083,0.009309,0.150824,0.150922,0.000000
22,0.951973,0.010154,0.141256,0.141379,0.000000
23,0.947689,0.011030,0.131957,0.132118,0.000000
24,0.943232,0.011937,0.122907,0.123138,0.000000
25,0.938604,0.012873,0.114087,0.114517,0.000000
26,0.933808,0.013837,0.105483,0.105741,-0.002477
27,0.928844,0.014829,0.097080,0.096958,-0.001452
28,0.923714,0.015848,0.088864,0.088698,-0.000745
29,0.918422,0.016892,0.080826,0.080809,-0.000243
30,0.912968,0.017961,0.072953,0.072915,-0.001574
31,0.907355,0.019054,0.065235,0.064972,-0.001340
32,0.901584,0.020170,0.057665,0.057266,-0.001032
33,0.895659,0.021307,0.050233,0.049740,-0.000624
34,0.889582,0.022465,0.042931,0.042393,-0.000119
35,0.883354,0.023643,0.035752,0.035231,0.000419
36,0.876979,0.024839,0.028690,0.028243,0.000886
37,0.870458,0.026054,0.021736,0.021406,0.001221
38,0.863794,0.027284,0.014886,0.014699,0.001430
39,0.856990,0.028531,0.008132,0.008116,0.001550
40,0.850049,0.029792,0.001470,0.001724,0.001613
41,0.842972,0.031066,-0.005106,-0.004794,0.000000
42,0.835763,0.032353,-0.011602,-0.011444,0.000000
43,0.828425,0.033652,-0.018024,-0.017921,0.000000
44,0.820960,0.034960,-0.024375,-0.024302,0.000000
45,0.813372,0.036278,-0.030661,-0.030607,0.000000
46,0.805662,0.037605,-0.036886,-0.036845,0.000000
47,0.797835,0.038938,-0.043056,-0.043024,0.000000
48,0.789893,0.040278,-0.049174,-0.049149,0.000000
49,0.781840,0.041623,-0.055246,-0.055226,0.000000
50,0.773677,0.042972,-0.061275,-0.061259,0.000000
51,0.765409,0.044324,-0.067265,-0.067252,0.000000
52,0.757039,0.045678,-0.073220,-0.073210,0.000000
53,0.748570,0.047032,-0.079145,-0.079137,0.000000
54,0.740004,0.048387,-0.085042,-0.085036,0.000000
55,0.731347,0.049740,-0.090916,-0.090912,0.000000
56,0.722600,0.051090,-0.096770,-0.096767,0.000000
57,0.713767,0.052437,-0.102607,-0.102605,0.000000
58,0.704852,0.053779,-0.108431,-0.108430,0.000000
59,0.695858,0.055116,-0.114244,-0.114244,0.000000
60,0.686788,0.056445,-0.120049,-0.120049,0.000000
61,0.677647,0.057767,-0.125849,-0.125850,0.000000
62,0.668437,0.059079,-0.131646,-0.131648,0.000000
63,0.659162,0.060381,-0.137443,-0.137445,0.000000
64,0.649825,0.061671,-0.143241,-0.143244,0.000000
65,0.640431,0.062949,-0.149043,-0.149046,0.000000
66,0.630983,0.064213,-0.154849,-0.154853,0.000000
67,0.621484,0.065461,-0.160662,-0.160666,0.000000
68,0.611939,0.066694,-0.166483,-0.166487,0.000000
69,0.602350,0.067908,-0.172312,-0.172316,0.000000
70,0.592722,0.069104,-0.178149,-0.178154,0.000000
71,0.583058,0.070280,-0.183996,-0.184001,0.000000
72,0.573362,0.071435,-0.189852,-0.189857,0.000000
73,0.563637,0.072567,-0.195717,-0.195722,0.000000
74,0.553889,0.073676,-0.201590,-0.201595,0.000000
75,0.544119,0.074759,-0.207470,-0.207476,0.000000
76,0.534332,0.075816,-0.213357,-0.213363,0.000000
77,0.524533,0.076845,-0.219248,-0.219254,0.000000
78,0.514723,0.077845,-0.225141,-0.225147,0.000000
79,0.504908,0.078815,-0.231034,-0.231041,0.000000
80,0.495092,0.079753,-0.236925,-0.236931,0.000000
81,0.485277,0.080659,-0.242810,-0.242817,0.000000
82,0.475467,0.081531,-0.248686,-0.248692,0.000000
83,0.465668,0.082367,-0.254548,-0.254555,0.000000
84,0.455881,0.083166,-0.260393,-0.260399,0.000000
85,0.446111,0.083928,-0.266215,-0.266222,0.000000
86,0.436363,0.084650,-0.272009,-0.272016,0.000000
87,0.426638,0.085332,-0.277770,-0.277777,0.000000
88,0.416942,0.085972,-0.283492,-0.283499,0.000000
89,0.407278,0.086569,-0.289167,-0.289174,0.000000
90,0.397650,0.087123,-0.294789,-0.294797,0.000000
91,0.388061,0.087631,-0.300350,-0.300358,0.000000
92,0.378516,0.088093,-0.305842,-0.305850,0.000000
93,0.369017,0.088507,-0.311257,-0.311264,0.000000
94,0.359569,0.088873,-0.316584,-0.316592,0.000000
95,0.350175,0.089189,-0.321815,-0.321823,0.000000
96,0.340838,0.089455,-0.326939,-0.326947,0.000000
97,0.331563,0.089670,-0.331945,-0.331953,0.000000
98,0.322353,0.089832,-0.336823,-0.336831,0.000000
99,0.313212,0.089941,-0.341559,-0.341567,0.000000
100,0.304142,0.089997,-0.346142,-0.346150,0.000000
101,0.295148,0.089997,-0.350557,-0.350566,0.000000
102,0.286233,0.089942,-0.354792,-0.354801,0.000000
103,0.277400,0.089831,-0.358832,-0.358840,0.000000
104,0.268653,0.089664,-0.362660,-0.362669,0.000000
105,0.259996,0.089439,-0.366262,-0.366271,0.000000
106,0.251430,0.089157,-0.369620,-0.369629,0.000000
107,0.242961,0.088816,-0.372716,-0.372725,0.000000
108,0.234591,0.088418,-0.375532,-0.375541,0.000000
109,0.226323,0.087961,-0.378048,-0.378057,0.000000
110,0.218160,0.087445,-0.380244,-0.380253,0.000000
111,0.210107,0.086870,-0.382096,-0.382105,0.000000
112,0.202165,0.086236,-0.383583,-0.383592,0.000000
113,0.194338,0.085544,-0.384678,-0.384687,0.000000
114,0.186628,0.084792,-0.385357,-0.385366,0.000000
115,0.179040,0.083982,-0.385591,-0.385600,0.000000
116,0.171575,0.083113,-0.385350,-0.385359,0.000000
117,0.164237,0.082186,-0.384601,-0.384610,0.000000
118,0.157028,0.081201,-0.383311,-0.383320,0.000000
119,0.149951,0.080159,-0.381441,-0.381450,0.000000
120,0.143010,0.079060,-0.378952,-0.378961,0.000000
121,0.136206,0.077905,-0.375798,-0.375807,0.000000
122,0.129542,0.076694,-0.371931,-0.371940,0.000000
123,0.123021,0.075427,-0.367299,-0.367308,0.000000
124,0.116646,0.074106,-0.361843,-0.361852,0.000000
125,0.110418,0.072732,-0.355500,-0.355509,0.000000
126,0.104341,0.071305,-0.348197,-0.348206,0.000000
127,0.098416,0.069826,-0.339857,-0.339866,0.000000
128,0.092645,0.068296,-0.330393,-0.330402,0.000000
129,0.087032,0.066715,-0.319706,-0.319715,0.000000
130,0.081578,0.065086,-0.307689,-0.307698,0.000000
131,0.076286,0.063409,-0.294221,-0.294231,0.000000
132,0.071156,0.061684,-0.279167,-0.279177,0.000000
133,0.066192,0.059914,-0.262377,-0.262386,0.000000
134,0.061396,0.058099,-0.243682,-0.243692,0.000000
135,0.056768,0.056240,-0.222897,-0.222907,0.000000
136,0.052311,0.054339,-0.199815,-0.199825,0.000000
137,0.048027,0.052396,-0.174208,-0.174218,0.000000
138,0.043917,0.050413,-0.145827,-0.145837,0.000000
139,0.039983,0.048390,-0.114401,-0.114412,0.000000
140,0.036226,0.046330,-0.079643,-0.079653,0.000000
141,0.032648,0.044233,-0.041248,-0.041259,0.000000
142,0.029251,0.042100,0.001091,0.001080,0.000000
143,0.026034,0.039932,0.047677,0.047665,0.000000
144,0.023001,0.037731,0.098785,0.098773,0.000000
145,0.020151,0.035497,0.154637,0.154625,0.000000
146,0.017486,0.033232,0.215363,0.215351,0.000000
147,0.015008,0.030936,0.280949,0.280937,0.000000
148,0.012716,0.028611,0.351178,0.351166,0.000000
149,0.010612,0.026257,0.425549,0.425537,0.000000
150,0.008697,0.023875,0.503199,0.503187,0.000000
151,0.006971,0.021466,0.582821,0.582810,0.000000
152,0.005436,0.019031,0.662613,0.662603,0.000000
153,0.004091,0.016571,0.740258,0.740248,0.000000
154,0.002937,0.014085,0.812982,0.812974,0.000000
155,0.001974,0.011576,0.877710,0.877703,0.000000
156,0.001204,0.009043,0.931300,0.931295,0.000000
157,0.000626,0.006486,0.970872,0.970868,0.000000
158,0.000241,0.003907,0.994131,0.994130,0.000000
159,0.000048,0.001306,0.999649,0.999649,0.000000
160,0.000048,-0.001306,0.986997,0.987000,0.000000
161,0.000241,-0.003907,0.956370,0.956375,0.000000
162,0.000626,-0.006486,0.908881,0.908888,0.000000
163,0.001204,-0.009043,0.846626,0.846636,0.000000
164,0.001974,-0.011576,0.772460,0.772472,0.000000
165,0.002937,-0.014085,0.689667,0.689681,0.000000
166,0.004091,-0.016571,0.601606,0.601623,0.000000
167,0.005436,-0.019031,0.511402,0.511421,0.000000
168,0.006971,-0.021466,0.421729,0.421750,0.000000
169,0.008697,-0.023875,0.334700,0.334723,0.000000
170,0.010612,-0.026257,0.251854,0.251878,0.000000
171,0.012716,-0.028611,0.174198,0.174223,0.000000
172,0.015008,-0.030936,0.102299,0.102325,0.000000
173,0.017486,-0.033232,0.036376,0.036403,0.000000
174,0.020151,-0.035497,-0.023605,-0.023576,-0.000021
175,0.023001,-0.037731,-0.077855,-0.077819,-0.000011
176,0.026034,-0.039932,-0.126692,-0.126653,-0.000002
177,0.029251,-0.042100,-0.170496,-0.170455,0.000007
178,0.032648,-0.044233,-0.209672,-0.209630,0.000015
179,0.036226,-0.046330,-0.244628,-0.244586,0.000022
180,0.039983,-0.048390,-0.275758,-0.275715,0.000029
181,0.043917,-0.050413,-0.303431,-0.303388,0.000036
182,0.048027,-0.052396,-0.327990,-0.327948,0.000042
183,0.052311,-0.054339,-0.349746,-0.349704,0.000047
184,0.056768,-0.056240,-0.368980,-0.368939,0.000053
185,0.061396,-0.058099,-0.385945,-0.385905,0.000058
186,0.066192,-0.059914,-0.400865,-0.400827,0.000063
187,0.071156,-0.061684,-0.413941,-0.413904,0.000068
188,0.076286,-0.063409,-0.425351,-0.425314,0.000072
189,0.081578,-0.065086,-0.435250,-0.435215,0.000077
190,0.087032,-0.066715,-0.443780,-0.443747,0.000082
191,0.092645,-0.068296,-0.451064,-0.451032,0.000086
192,0.098416,-0.069826,-0.457211,-0.457181,0.000091
193,0.104341,-0.071305,-0.462320,-0.462292,0.000095
194,0.110418,-0.072732,-0.466477,-0.466452,0.000099
195,0.116646,-0.074106,-0.469760,-0.469737,0.000104
196,0.123021,-0.075427,-0.472240,-0.472219,0.000108
197,0.129542,-0.076694,-0.473977,-0.473960,0.000113
198,0.136206,-0.077905,-0.475029,-0.475015,0.000117
199,0.143010,-0.079060,-0.475446,-0.475436,0.000121
200,0.149951,-0.080159,-0.475276,-0.475270,0.000125
201,0.157028,-0.081201,-0.474559,-0.474558,0.000128
202,0.164237,-0.082186,-0.473335,-0.473340,0.000131
203,0.171575,-0.083113,-0.471639,-0.471651,0.000133
204,0.179040,-0.083982,-0.469504,-0.469524,0.000134
205,0.186628,-0.084792,-0.466960,-0.466990,0.000134
206,0.194338,-0.085544,-0.464035,-0.464087,0.000133
207,0.202165,-0.086236,-0.460755,-0.460808,0.000000
208,0.210107,-0.086870,-0.457144,-0.457179,0.000000
