--- GLOBAL RESULTS ---
Metric,Solid_Baseline,Porous_Result,Change_Percent
CL,0.138826,0.138835,0.01%
CD,0.026049,0.026051,0.01%

--- PANEL DISTRIBUTION DATA ---
Panel_ID,XC,YC,Cp_Solid,Cp_Porous,V_leakage
0,0.999952,0.000011,0.608043,0.608049,0.000000
1,0.999759,0.000053,0.532511,0.532519,0.000000
2,0.999374,0.000136,0.480727,0.480737,0.000000
3,0.998796,0.000262,0.441521,0.441532,0.000000
4,0.998026,0.000430,0.409629,0.409640,0.000000
5,0.997063,0.000639,0.382501,0.382513,0.000000
6,0.995909,0.000889,0.358724,0.358738,0.000000
7,0.994564,0.001181,0.337437,0.337451,0.000000
8,0.993029,0.001513,0.318072,0.318089,0.000000
9,0.991303,0.001885,0.300241,0.300259,0.000000
10,0.989388,0.002298,0.283660,0.283680,0.000000
11,0.987284,0.002750,0.268120,0.268141,0.000000
12,0.984992,0.003240,0.253460,0.253484,0.000000
13,0.982514,0.003769,0.239553,0.239580,0.000000
14,0.979849,0.004336,0.226301,0.226331,0.000000
15,0.976999,0.004941,0.213621,0.213655,0.000000
16,0.973966,0.005582,0.201446,0.201486,0.000000
17,0.970749,0.006258,0.189722,0.189767,0.000000
18,0.967352,0.006970,0.178401,0.178454,0.000000
19,0.963774,0.007716,0.167444,0.167507,0.000000
20,0.960017,0.008497,0.156818,0.156894,0.000000
21,0.956083,0.009309,0.146492,0.146585,0.000000
22,0.951973,0.010154,0.136442,0.136560,0.000000
23,0.947689,0.011030,0.126645,0.126802,0.000000
24,0.943232,0.011937,0.117082,0.117312,0.000000
25,0.938604,0.012873,0.107736,0.108173,0.000000
26,0.933808,0.013837,0.098590,0.098843,-0.002606
27,0.928844,0.014829,0.089631,0.089479,-0.001519
28,0.923714,0.015848,0.080846,0.080646,-0.000769
29,0.918422,0.016892,0.072225,0.072178,-0.000234
30,0.912968,0.017961,0.063755,0.063683,-0.001609
31,0.907355,0.019054,0.055429,0.055117,-0.001346
32,0.901584,0.020170,0.047236,0.046782,-0.000999
33,0.895659,0.021307,0.039168,0.038617,-0.000543
34,0.889582,0.022465,0.031219,0.030625,0.000016
35,0.883354,0.023643,0.023379,0.022811,0.000604
36,0.876979,0.024839,0.015643,0.015165,0.001106
37,0.870458,0.026054,0.008004,0.007661,0.001459
38,0.863794,0.027284,0.000455,0.000274,0.001674
39,0.856990,0.028531,-0.007009,-0.006996,0.001795
40,0.850049,0.029792,-0.014395,-0.014074,0.001854
41,0.842972,0.031066,-0.021708,-0.021325,0.000000
42,0.835763,0.032353,-0.028954,-0.028751,0.000000
43,0.828425,0.033652,-0.036138,-0.036002,0.000000
44,0.820960,0.034960,-0.043265,-0.043165,0.000000
45,0.813372,0.036278,-0.050341,-0.050264,0.000000
46,0.805662,0.037605,-0.057370,-0.057309,0.000000
47,0.797835,0.038938,-0.064357,-0.064308,0.000000
48,0.789893,0.040278,-0.071308,-0.071267,0.000000
49,0.781840,0.041623,-0.078226,-0.078192,0.000000
50,0.773677,0.042972,-0.085117,-0.085088,0.000000
51,0.765409,0.044324,-0.091985,-0.091961,0.000000
52,0.757039,0.045678,-0.098835,-0.098814,0.000000
53,0.748570,0.047032,-0.105671,-0.105653,0.000000
54,0.740004,0.048387,-0.112497,-0.112482,0.000000
55,0.731347,0.049740,-0.119318,-0.119305,0.000000
56,0.722600,0.051090,-0.126138,-0.126126,0.000000
57,0.713767,0.052437,-0.132961,-0.132951,0.000000
58,0.704852,0.053779,-0.139790,-0.139781,0.000000
59,0.695858,0.055116,-0.146630,-0.146622,0.000000
60,0.686788,0.056445,-0.153484,-0.153477,0.000000
61,0.677647,0.057767,-0.160356,-0.160350,0.000000
62,0.668437,0.059079,-0.167248,-0.167243,0.000000
63,0.659162,0.060381,-0.174166,-0.174161,0.000000
64,0.649825,0.061671,-0.181110,-0.181107,0.000000
65,0.640431,0.062949,-0.188085,-0.188082,0.000000
66,0.630983,0.064213,-0.195093,-0.195090,0.000000
67,0.621484,0.065461,-0.202136,-0.202134,0.000000
68,0.611939,0.066694,-0.209217,-0.209215,0.000000
69,0.602350,0.067908,-0.216338,-0.216337,0.000000
70,0.592722,0.069104,-0.223500,-0.223500,0.000000
71,0.583058,0.070280,-0.230706,-0.230706,0.000000
72,0.573362,0.071435,-0.237957,-0.237957,0.000000
73,0.563637,0.072567,-0.245253,-0.245253,0.000000
74,0.553889,0.073676,-0.252595,-0.252596,0.000000
75,0.544119,0.074759,-0.259985,-0.259986,0.000000
76,0.534332,0.075816,-0.267422,-0.267423,0.000000
77,0.524533,0.076845,-0.274906,-0.274907,0.000000
78,0.514723,0.077845,-0.282436,-0.282437,0.000000
79,0.504908,0.078815,-0.290013,-0.290014,0.000000
80,0.495092,0.079753,-0.297634,-0.297635,0.000000
81,0.485277,0.080659,-0.305298,-0.305300,0.000000
82,0.475467,0.081531,-0.313004,-0.313006,0.000000
83,0.465668,0.082367,-0.320749,-0.320751,0.000000
84,0.455881,0.083166,-0.328531,-0.328533,0.000000
85,0.446111,0.083928,-0.336346,-0.336349,0.000000
86,0.436363,0.084650,-0.344192,-0.344194,0.000000
87,0.426638,0.085332,-0.352063,-0.352066,0.000000
88,0.416942,0.085972,-0.359957,-0.359960,0.000000
89,0.407278,0.086569,-0.367868,-0.367871,0.000000
90,0.397650,0.087123,-0.375792,-0.375795,0.000000
91,0.388061,0.087631,-0.383722,-0.383725,0.000000
92,0.378516,0.088093,-0.391652,-0.391655,0.000000
93,0.369017,0.088507,-0.399576,-0.399580,0.000000
94,0.359569,0.088873,-0.407487,-0.407491,0.000000
95,0.350175,0.089189,-0.415378,-0.415381,0.000000
96,0.340838,0.089455,-0.423239,-0.423243,0.000000
97,0.331563,0.089670,-0.431064,-0.431068,0.000000
98,0.322353,0.089832,-0.438842,-0.438846,0.000000
99,0.313212,0.089941,-0.446564,-0.446568,0.000000
100,0.304142,0.089997,-0.454220,-0.454224,0.000000
101,0.295148,0.089997,-0.461799,-0.461803,0.000000
102,0.286233,0.089942,-0.469290,-0.469294,0.000000
103,0.277400,0.089831,-0.476681,-0.476685,0.000000
104,0.268653,0.089664,-0.483958,-0.483963,0.000000
105,0.259996,0.089439,-0.491110,-0.491115,0.000000
106,0.251430,0.089157,-0.498122,-0.498127,0.000000
107,0.242961,0.088816,-0.504980,-0.504984,0.000000
108,0.234591,0.088418,-0.511667,-0.511671,0.000000
109,0.226323,0.087961,-0.518167,-0.518172,0.000000
110,0.218160,0.087445,-0.524464,-0.524469,0.000000
111,0.210107,0.086870,-0.530539,-0.530543,0.000000
112,0.202165,0.086236,-0.536372,-0.536376,0.000000
113,0.194338,0.085544,-0.541942,-0.541946,0.000000
114,0.186628,0.084792,-0.547228,-0.547232,0.000000
115,0.179040,0.083982,-0.552205,-0.552210,0.000000
116,0.171575,0.083113,-0.556849,-0.556853,0.000000
117,0.164237,0.082186,-0.561131,-0.561135,0.000000
118,0.157028,0.081201,-0.565021,-0.565026,0.000000
119,0.149951,0.080159,-0.568488,-0.568492,0.000000
120,0.143010,0.079060,-0.571495,-0.571500,0.000000
121,0.136206,0.077905,-0.574004,-0.574008,0.000000
122,0.129542,0.076694,-0.575971,-0.575975,0.000000
123,0.123021,0.075427,-0.577348,-0.577353,0.000000
124,0.116646,0.074106,-0.578083,-0.578087,0.000000
125,0.110418,0.072732,-0.578116,-0.578120,0.000000
126,0.104341,0.071305,-0.577380,-0.577385,0.000000
127,0.098416,0.069826,-0.575801,-0.575805,0.000000
128,0.092645,0.068296,-0.573293,-0.573298,0.000000
129,0.087032,0.066715,-0.569761,-0.569766,0.000000
130,0.081578,0.065086,-0.565097,-0.565102,0.000000
131,0.076286,0.063409,-0.559176,-0.559181,0.000000
132,0.071156,0.061684,-0.551857,-0.551862,0.000000
133,0.066192,0.059914,-0.542980,-0.542985,0.000000
134,0.061396,0.058099,-0.532361,-0.532367,0.000000
135,0.056768,0.056240,-0.519791,-0.519797,0.000000
136,0.052311,0.054339,-0.505031,-0.505037,0.000000
137,0.048027,0.052396,-0.487810,-0.487815,0.000000
138,0.043917,0.050413,-0.467820,-0.467826,0.000000
139,0.039983,0.048390,-0.444714,-0.444720,0.000000
140,0.036226,0.046330,-0.418105,-0.418111,0.000000
141,0.032648,0.044233,-0.387562,-0.387568,0.000000
142,0.029251,0.042100,-0.352612,-0.352619,0.000000
143,0.026034,0.039932,-0.312751,-0.312758,0.000000
144,0.023001,0.037731,-0.267448,-0.267455,0.000000
145,0.020151,0.035497,-0.216170,-0.216177,0.000000
146,0.017486,0.033232,-0.158411,-0.158419,0.000000
147,0.015008,0.030936,-0.093741,-0.093749,0.000000
148,0.012716,0.028611,-0.021865,-0.021873,0.000000
149,0.010612,0.026257,0.057291,0.057283,0.000000
150,0.008697,0.023875,0.143477,0.143470,0.000000
151,0.006971,0.021466,0.236010,0.236003,0.000000
152,0.005436,0.019031,0.333660,0.333652,0.000000
153,0.004091,0.016571,0.434565,0.434558,0.000000
154,0.002937,0.014085,0.536212,0.536205,0.000000
155,0.001974,0.011576,0.635493,0.635486,0.000000
156,0.001204,0.009043,0.728893,0.728888,0.000000
157,0.000626,0.006486,0.812784,0.812779,0.000000
158,0.000241,0.003907,0.883789,0.883785,0.000000
159,0.000048,0.001306,0.939154,0.939152,0.000000
160,0.000048,-0.001306,0.977049,0.977047,0.000000
161,0.000241,-0.003907,0.996891,0.996890,0.000000
162,0.000626,-0.006486,0.998458,0.998458,0.000000
163,0.001204,-0.009043,0.982507,0.982509,0.000000
164,0.001974,-0.011576,0.950734,0.950736,0.000000
165,0.002937,-0.014085,0.905563,0.905567,0.000000
166,0.004091,-0.016571,0.849851,0.849856,0.000000
167,0.005436,-0.019031,0.786564,0.786569,0.000000
168,0.006971,-0.021466,0.718510,0.718516,0.000000
169,0.008697,-0.023875,0.648158,0.648164,0.000000
170,0.010612,-0.026257,0.577538,0.577545,0.000000
171,0.012716,-0.028611,0.508221,0.508227,0.000000
172,0.015008,-0.030936,0.441347,0.441351,0.000000
173,0.017486,-0.033232,0.377683,0.377683,0.000000
