--- GLOBAL RESULTS ---
Metric,Solid_Baseline,Porous_Result,Change_Percent
CL,-0.138823,0.058432,142.09%
CD,0.026049,0.019685,-24.43%

--- PANEL DISTRIBUTION DATA ---
Panel_ID,XC,YC,Cp_Solid,Cp_Porous,V_leakage
0,0.999952,0.000011,0.608061,0.340467,-5.407875
1,0.999759,0.000053,0.532598,0.153975,1.388788
2,0.999374,0.000136,0.480955,0.232339,-0.910673
3,0.998796,0.000262,0.441941,0.177509,0.520899
4,0.998026,0.000430,0.410287,0.163096,-0.335477
5,0.997063,0.000639,0.383437,0.104933,0.436140
6,0.995909,0.000889,0.359977,0.138405,0.355089
7,0.994564,0.001181,0.339041,0.209605,0.682288
8,0.993029,0.001513,0.320062,0.265651,0.162229
9,0.991303,0.001885,0.302649,0.219847,-0.058839
10,0.989388,0.002298,0.286517,0.170432,0.007952
11,0.987284,0.002750,0.271456,0.163409,0.117870
12,0.984992,0.003240,0.257304,0.158590,0.000000
13,0.982514,0.003769,0.243934,0.138107,0.000000
14,0.979849,0.004336,0.231244,0.123498,0.000000
15,0.976999,0.004941,0.219154,0.110861,0.000000
16,0.973966,0.005582,0.207595,0.099351,0.000000
17,0.970749,0.006258,0.196512,0.088618,0.000000
18,0.967352,0.006970,0.185856,0.078475,0.000000
19,0.963774,0.007716,0.175589,0.068809,0.000000
20,0.960017,0.008497,0.165675,0.059543,0.000000
21,0.956083,0.009309,0.156084,0.050619,0.000000
22,0.951973,0.010154,0.146792,0.041998,0.000000
23,0.947689,0.011030,0.137774,0.033647,0.000000
24,0.943232,0.011937,0.129012,0.025538,0.000000
25,0.938604,0.012873,0.120486,0.017650,0.000000
26,0.933808,0.013837,0.112183,0.009965,0.000000
27,0.928844,0.014829,0.104086,0.002468,0.000000
28,0.923714,0.015848,0.096183,-0.004856,0.000000
29,0.918422,0.016892,0.088463,-0.012018,0.000000
30,0.912968,0.017961,0.080915,-0.019030,0.000000
31,0.907355,0.019054,0.073528,-0.025900,0.000000
32,0.901584,0.020170,0.066293,-0.032638,0.000000
33,0.895659,0.021307,0.059203,-0.039251,0.000000
34,0.889582,0.022465,0.052249,-0.045748,0.000000
35,0.883354,0.023643,0.045423,-0.052134,0.000000
