--- GLOBAL RESULTS ---
Metric,Solid_Baseline,Porous_Result,Change_Percent
CL,-0.230540,-0.078935,65.76%
CD,0.033361,0.024875,-25.44%

--- PANEL DISTRIBUTION DATA ---
Panel_ID,XC,YC,Cp_Solid,Cp_Porous,V_leakage
0,0.999952,0.000011,0.609977,0.329346,-4.630046
1,0.999759,0.000053,0.534904,0.176682,1.652161
2,0.999374,0.000136,0.483559,0.429347,0.010750
3,0.998796,0.000262,0.444799,0.351095,-0.486343
4,0.998026,0.000430,0.413378,0.242973,-0.358416
5,0.997063,0.000639,0.386752,0.174737,-0.130693
6,0.995909,0.000889,0.363511,0.143878,0.091862
7,0.994564,0.001181,0.342794,0.143524,0.266398
8,0.993029,0.001513,0.324036,0.164396,0.367327
9,0.991303,0.001885,0.306846,0.194908,0.380667
10,0.989388,0.002298,0.290942,0.222160,0.307753
11,0.987284,0.002750,0.276114,0.234041,0.171325
12,0.984992,0.003240,0.262199,0.214010,0.000000
13,0.982514,0.003769,0.249072,0.182757,0.000000
14,0.979849,0.004336,0.236632,0.163729,0.000000
15,0.976999,0.004941,0.224796,0.148737,0.000000
16,0.973966,0.005582,0.213498,0.135818,0.000000
17,0.970749,0.006258,0.202680,0.124185,0.000000
18,0.967352,0.006970,0.192297,0.113444,0.000000
19,0.963774,0.007716,0.182308,0.103374,0.000000
20,0.960017,0.008497,0.172678,0.093836,0.000000
21,0.956083,0.009309,0.163377,0.084737,0.000000
22,0.951973,0.010154,0.154380,0.076012,0.000000
23,0.947689,0.011030,0.145664,0.067612,0.000000
24,0.943232,0.011937,0.137209,0.059501,0.000000
25,0.938604,0.012873,0.128996,0.051648,0.000000
26,0.933808,0.013837,0.121011,0.044029,0.000000
27,0.928844,0.014829,0.113238,0.036626,0.000000
28,0.923714,0.015848,0.105665,0.029420,0.000000
29,0.918422,0.016892,0.098279,0.022397,0.000000
30,0.912968,0.017961,0.091071,0.015545,0.000000
31,0.907355,0.019054,0.084029,0.008851,0.000000
32,0.901584,0.020170,0.077145,0.002307,0.000000
33,0.895659,0.021307,0.070411,-0.004098,0.000000
34,0.889582,0.022465,0.063818,-0.010371,0.000000
