--- GLOBAL RESULTS ---
Metric,Solid_Baseline,Porous_Result,Change_Percent
CL,0.092656,0.257256,177.65%
CD,0.023752,0.028191,18.69%

--- PANEL DISTRIBUTION DATA ---
Panel_ID,XC,YC,Cp_Solid,Cp_Porous,V_leakage
0,0.999952,0.000011,0.607448,0.345717,-4.833170
1,0.999759,0.000053,0.531813,0.174060,1.336760
2,0.999374,0.000136,0.479973,0.231478,-0.762001
3,0.998796,0.000262,0.440740,0.184622,0.662021
4,0.998026,0.000430,0.408839,0.196224,-0.107683
5,0.997063,0.000639,0.381716,0.178175,0.548138
6,0.995909,0.000889,0.357956,0.201989,0.209635
7,0.994564,0.001181,0.336694,0.215961,0.473051
8,0.993029,0.001513,0.317365,0.231338,0.155387
9,0.991303,0.001885,0.299576,0.217229,0.212000
10,0.989388,0.002298,0.283045,0.202098,0.071840
11,0.987284,0.002750,0.267562,0.196428,0.186347
12,0.984992,0.003240,0.252964,0.190898,0.000000
13,0.982514,0.003769,0.239126,0.162688,0.000000
14,0.979849,0.004336,0.225948,0.144560,0.000000
15,0.976999,0.004941,0.213347,0.129614,0.000000
16,0.973966,0.005582,0.201257,0.116339,0.000000
17,0.970749,0.006258,0.189623,0.104133,0.000000
18,0.967352,0.006970,0.178396,0.092692,0.000000
19,0.963774,0.007716,0.167538,0.081837,0.000000
20,0.960017,0.008497,0.157015,0.071454,0.000000
21,0.956083,0.009309,0.146797,0.061464,0.000000
22,0.951973,0.010154,0.136859,0.051811,0.000000
23,0.947689,0.011030,0.127178,0.042451,0.000000
24,0.943232,0.011937,0.117735,0.033350,0.000000
25,0.938604,0.012873,0.108512,0.024481,0.000000
26,0.933808,0.013837,0.099493,0.015821,0.000000
27,0.928844,0.014829,0.090666,0.007352,0.000000
28,0.923714,0.015848,0.082016,-0.000942,0.000000
29,0.918422,0.016892,0.073533,-0.009076,0.000000
30,0.912968,0.017961,0.065205,-0.017062,0.000000
31,0.907355,0.019054,0.057024,-0.024910,0.000000
32,0.901584,0.020170,0.048980,-0.032630,0.000000
33,0.895659,0.021307,0.041065,-0.040232,0.000000
34,0.889582,0.022465,0.033271,-0.047724,0.000000
35,0.883354,0.023643,0.025591,-0.055113,0.000000
36,0.876979,0.024839,0.018017,-0.062406,0.000000
37,0.870458,0.026054,0.010543,-0.069610,0.000000
38,0.863794,0.027284,0.003163,-0.076732,0.000000
39,0.856990,0.028531,-0.004129,-0.083777,0.000000
40,0.850049,0.029792,-0.011340,-0.090750,0.000000
41,0.842972,0.031066,-0.018474,-0.097659,0.000000
42,0.835763,0.032353,-0.025538,-0.104508,0.000000
43,0.828425,0.033652,-0.032537,-0.111301,0.000000
44,0.820960,0.034960,-0.039475,-0.118046,0.000000
45,0.813372,0.036278,-0.046358,-0.124745,0.000000
