--- GLOBAL RESULTS ---
Metric,Solid_Baseline,Porous_Result,Change_Percent
CL,0.046360,0.131590,183.84%
CD,0.022371,0.025967,16.08%

--- PANEL DISTRIBUTION DATA ---
Panel_ID,XC,YC,Cp_Solid,Cp_Porous,V_leakage
0,0.999952,0.000011,0.607092,0.684377,-0.666237
1,0.999759,0.000053,0.531399,0.564670,-0.546434
2,0.999374,0.000136,0.479536,0.484396,-0.465849
3,0.998796,0.000262,0.440298,0.426063,-0.406688
4,0.998026,0.000430,0.408408,0.380277,-0.359824
5,0.997063,0.000639,0.381307,0.342489,-0.320834
6,0.995909,0.000889,0.357578,0.310211,-0.287281
7,0.994564,0.001181,0.336356,0.281940,-0.257682
8,0.993029,0.001513,0.317073,0.256693,-0.231054
9,0.991303,0.001885,0.299338,0.233781,-0.206700
10,0.989388,0.002298,0.282867,0.212679,-0.184082
11,0.987284,0.002750,0.267449,0.192936,-0.162728
12,0.984992,0.003240,0.252923,0.174074,-0.142128
13,0.982514,0.003769,0.239163,0.155313,-0.121438
14,0.979849,0.004336,0.226066,0.134142,-0.097751
15,0.976999,0.004941,0.213553,0.125708,0.000000
16,0.973966,0.005582,0.201555,0.126475,0.000000
17,0.970749,0.006258,0.190017,0.121067,0.000000
18,0.967352,0.006970,0.178891,0.113930,0.000000
19,0.963774,0.007716,0.168139,0.106080,0.000000
20,0.960017,0.008497,0.157725,0.097915,0.000000
21,0.956083,0.009309,0.147621,0.089624,0.000000
22,0.951973,0.010154,0.137801,0.081309,0.000000
23,0.947689,0.011030,0.128241,0.073027,0.000000
24,0.943232,0.011937,0.118924,0.064811,0.000000
25,0.938604,0.012873,0.109830,0.056681,0.000000
26,0.933808,0.013837,0.100945,0.048647,0.000000
27,0.928844,0.014829,0.092254,0.040715,0.000000
28,0.923714,0.015848,0.083744,0.032887,0.000000
29,0.918422,0.016892,0.075404,0.025164,0.000000
30,0.912968,0.017961,0.067224,0.017544,0.000000
31,0.907355,0.019054,0.059192,0.010026,0.000000
32,0.901584,0.020170,0.051302,0.002605,0.000000
33,0.895659,0.021307,0.043544,-0.004722,0.000000
34,0.889582,0.022465,0.035909,-0.011958,0.000000
35,0.883354,0.023643,0.028392,-0.019107,0.000000
36,0.876979,0.024839,0.020985,-0.026173,0.000000
37,0.870458,0.026054,0.013681,-0.033160,0.000000
38,0.863794,0.027284,0.006474,-0.040073,0.000000
39,0.856990,0.028531,-0.000643,-0.046915,0.000000
40,0.850049,0.029792,-0.007674,-0.053692,0.000000
41,0.842972,0.031066,-0.014626,-0.060406,0.000000
42,0.835763,0.032353,-0.021504,-0.067063,0.000000
43,0.828425,0.033652,-0.028313,-0.073667,0.000000
44,0.820960,0.034960,-0.035059,-0.080221,0.000000
45,0.813372,0.036278,-0.041746,-0.086730,0.000000
46,0.805662,0.037605,-0.048380,-0.093198,0.000000
47,0.797835,0.038938,-0.054965,-0.099630,0.000000
48,0.789893,0.040278,-0.061505,-0.106028,0.000000
49,0.781840,0.041623,-0.068006,-0.112399,0.000000
50,0.773677,0.042972,-0.074471,-0.118744,0.000000
51,0.765409,0.044324,-0.080906,-0.125069,0.000000
52,0.757039,0.045678,-0.087314,-0.131377,0.000000
53,0.748570,0.047032,-0.093700,-0.137672,0.000000
54,0.740004,0.048387,-0.100067,-0.143958,0.000000
55,0.731347,0.049740,-0.106419,-0.150238,0.000000
56,0.722600,0.051090,-0.112761,-0.156517,0.000000
57,0.713767,0.052437,-0.119095,-0.162797,0.000000
58,0.704852,0.053779,-0.125426,-0.169082,0.000000
59,0.695858,0.055116,-0.131757,-0.175375,0.000000
60,0.686788,0.056445,-0.138091,-0.181680,0.000000
61,0.677647,0.057767,-0.144431,-0.187998,0.000000
62,0.668437,0.059079,-0.150780,-0.194334,0.000000
63,0.659162,0.060381,-0.157141,-0.200690,0.000000
64,0.649825,0.061671,-0.163516,-0.207069,0.000000
65,0.640431,0.062949,-0.169907,-0.213472,0.000000
66,0.630983,0.064213,-0.176318,-0.219901,0.000000
67,0.621484,0.065461,-0.182749,-0.226360,0.000000
68,0.611939,0.066694,-0.189202,-0.232849,0.000000
69,0.602350,0.067908,-0.195680,-0.239370,0.000000
70,0.592722,0.069104,-0.202182,-0.245924,0.000000
71,0.583058,0.070280,-0.208710,-0.252512,0.000000
72,0.573362,0.071435,-0.215265,-0.259135,0.000000
73,0.563637,0.072567,-0.221847,-0.265794,0.000000
74,0.553889,0.073676,-0.228456,-0.272487,0.000000
75,0.544119,0.074759,-0.235092,-0.279216,0.000000
76,0.534332,0.075816,-0.241755,-0.285979,0.000000
77,0.524533,0.076845,-0.248442,-0.292777,0.000000
78,0.514723,0.077845,-0.255154,-0.299606,0.000000
79,0.504908,0.078815,-0.261888,-0.306467,0.000000
80,0.495092,0.079753,-0.268643,-0.313357,0.000000
81,0.485277,0.080659,-0.275416,-0.320274,0.000000
82,0.475467,0.081531,-0.282205,-0.327215,0.000000
83,0.465668,0.082367,-0.289006,-0.334177,0.000000
84,0.455881,0.083166,-0.295816,-0.341157,0.000000
85,0.446111,0.083928,-0.302631,-0.348150,0.000000
86,0.436363,0.084650,-0.309446,-0.355152,0.000000
87,0.426638,0.085332,-0.316258,-0.362158,0.000000
88,0.416942,0.085972,-0.323059,-0.369163,0.000000
89,0.407278,0.086569,-0.329846,-0.376161,0.000000
90,0.397650,0.087123,-0.336611,-0.383146,0.000000
91,0.388061,0.087631,-0.343348,-0.390110,0.000000
92,0.378516,0.088093,-0.350050,-0.397046,0.000000
93,0.369017,0.088507,-0.356709,-0.403946,0.000000
94,0.359569,0.088873,-0.363317,-0.410802,0.000000
95,0.350175,0.089189,-0.369865,-0.417604,0.000000
96,0.340838,0.089455,-0.376344,-0.424342,0.000000
97,0.331563,0.089670,-0.382744,-0.431007,0.000000
