Metric,Solid_Baseline,Porous_Result,Change_Percent
CL,-0.228839,-0.224913,1.72%
CD,0.032959,0.033093,0.41%

Panel_ID,XC,YC,Cp_Solid,Cp_Porous,V_leakage
0,0.999999,0.000000,0.801172,0.802761,0.000000
1,0.999997,0.000001,0.732071,0.734662,0.000000
2,0.999993,0.000002,0.690985,0.694123,0.000000
3,0.999986,0.000003,0.664196,0.667664,0.000000
4,0.999978,0.000005,0.643905,0.647615,0.000000
5,0.999967,0.000007,0.627261,0.631168,0.000000
6,0.999953,0.000010,0.612988,0.617067,0.000000
7,0.999938,0.000014,0.600407,0.604642,0.000000
8,0.999920,0.000017,0.589107,0.593486,0.000000
9,0.999901,0.000022,0.578818,0.583332,0.000000
10,0.999879,0.000026,0.569350,0.573993,0.000000
11,0.999855,0.000032,0.560565,0.565332,0.000000
12,0.999828,0.000037,0.552359,0.557247,0.000000
13,0.999800,0.000044,0.544650,0.549657,0.000000
14,0.999769,0.000050,0.537374,0.542497,0.000000
15,0.999736,0.000057,0.530478,0.535716,0.000000
16,0.999701,0.000065,0.523919,0.529273,0.000000
17,0.999664,0.000073,0.517662,0.523131,0.000000
18,0.999624,0.000082,0.511677,0.517260,0.000000
19,0.999583,0.000091,0.505937,0.511636,0.000000
20,0.999539,0.000100,0.500420,0.506236,0.000000
21,0.999493,0.000111,0.495108,0.501042,0.000000
22,0.999445,0.000121,0.489984,0.496037,0.000000
23,0.999394,0.000132,0.485033,0.491208,0.000000
24,0.999342,0.000143,0.480242,0.486540,0.000000
25,0.999287,0.000155,0.475599,0.482024,0.000000
26,0.999230,0.000168,0.471096,0.477648,0.000000
27,0.999171,0.000181,0.466721,0.473404,0.000000
28,0.999109,0.000194,0.462467,0.469285,0.000000
29,0.999046,0.000208,0.458327,0.465282,0.000000
30,0.998980,0.000222,0.454294,0.461390,0.000000
31,0.998912,0.000237,0.450361,0.457601,0.000000
32,0.998842,0.000252,0.446523,0.453912,0.000000
33,0.998770,0.000268,0.442775,0.450317,0.000000
34,0.998695,0.000284,0.439111,0.446811,0.000000
35,0.998618,0.000301,0.435529,0.443391,0.000000
36,0.998539,0.000318,0.432023,0.440053,0.000000
37,0.998458,0.000336,0.428590,0.436793,0.000000
38,0.998375,0.000354,0.425227,0.433609,0.000000
39,0.998290,0.000372,0.421930,0.430497,0.000000
40,0.998202,0.000392,0.418696,0.427455,0.000000
41,0.998112,0.000411,0.415523,0.424480,0.000000
42,0.998020,0.000431,0.412408,0.421571,0.000000
43,0.997926,0.000452,0.409348,0.418725,0.000000
44,0.997830,0.000473,0.406342,0.415940,0.000000
45,0.997731,0.000494,0.403387,0.413216,0.000000
46,0.997630,0.000516,0.400481,0.410550,0.000000
47,0.997528,0.000538,0.397622,0.407941,0.000000
48,0.997422,0.000561,0.394809,0.405389,0.000000
49,0.997315,0.000584,0.392040,0.402891,0.000000
50,0.997206,0.000608,0.389313,0.400448,0.000000
51,0.997094,0.000632,0.386627,0.398058,0.000000
52,0.996980,0.000657,0.383980,0.395721,0.000000
53,0.996864,0.000682,0.381372,0.393437,0.000000
54,0.996746,0.000708,0.378800,0.391205,0.000000
55,0.996626,0.000734,0.376263,0.389025,0.000000
56,0.996503,0.000761,0.373762,0.386897,0.000000
57,0.996378,0.000788,0.371293,0.384822,0.000000
58,0.996252,0.000815,0.368857,0.382800,0.000000
59,0.996122,0.000843,0.366452,0.380831,0.000000
60,0.995991,0.000872,0.364078,0.378916,0.000000
61,0.995858,0.000901,0.361733,0.377057,0.000000
62,0.995722,0.000930,0.359417,0.375255,0.000000
63,0.995584,0.000960,0.357128,0.373510,0.000000
64,0.995444,0.000990,0.354867,0.371826,0.000000
65,0.995302,0.001021,0.352632,0.370204,0.000000
66,0.995158,0.001052,0.350423,0.368646,0.000000
67,0.995012,0.001084,0.348238,0.367157,0.000000
68,0.994863,0.001116,0.346078,0.365740,0.000000
69,0.994712,0.001149,0.343941,0.364399,0.000000
70,0.994559,0.001182,0.341827,0.363139,0.000000
71,0.994404,0.001216,0.339736,0.361966,0.000000
72,0.994247,0.001250,0.337667,0.360888,0.000000
73,0.994087,0.001284,0.335619,0.359913,0.000000
74,0.993926,0.001319,0.333591,0.359050,0.000000
75,0.993762,0.001355,0.331584,0.358313,0.000000
76,0.993596,0.001391,0.329597,0.357716,0.000000
77,0.993428,0.001427,0.327629,0.357277,0.000000
78,0.993257,0.001464,0.325680,0.357017,0.000000
79,0.993085,0.001501,0.323750,0.356964,0.000000
80,0.992910,0.001539,0.321837,0.357153,0.000000
81,0.992733,0.001577,0.319943,0.357625,0.000000
82,0.992554,0.001616,0.318065,0.358438,0.000000
83,0.992373,0.001655,0.316205,0.359663,0.000000
84,0.992190,0.001694,0.314361,0.361398,0.000000
85,0.992005,0.001734,0.312533,0.363774,0.000000
86,0.991817,0.001775,0.310721,0.366975,0.000000
87,0.991627,0.001816,0.308924,0.371264,0.000000
88,0.991435,0.001857,0.307143,0.377037,0.000000
89,0.991241,0.001899,0.305376,0.384905,0.000000
90,0.991045,0.001941,0.303625,0.395881,0.000000
91,0.990847,0.001984,0.301887,0.411758,0.000000
92,0.990646,0.002027,0.300164,0.436057,0.000000
93,0.990443,0.002071,0.298454,0.476760,0.000000
94,0.990239,0.002115,0.296758,0.556757,0.000000
95,0.990032,0.002159,0.295075,0.779983,0.000000
96,0.989822,0.002204,0.293405,0.292821,-6.015144
97,0.989611,0.002250,0.291747,-0.459896,0.000000
98,0.989398,0.002296,0.290102,-0.025027,0.000000
99,0.989182,0.002342,0.288470,0.088083,0.000000
100,0.988964,0.002389,0.286849,0.140057,0.000000
101,0.988745,0.002436,0.285241,0.169565,0.000000
102,0.988523,0.002484,0.283644,0.188313,0.000000
103,0.988298,0.002532,0.282058,0.201075,0.000000
104,0.988072,0.002581,0.280484,0.210164,0.000000
105,0.987844,0.002630,0.278921,0.216839,0.000000
106,0.987613,0.002679,0.277368,0.221841,0.000000
107,0.987380,0.002729,0.275827,0.225639,0.000000
108,0.987145,0.002779,0.274295,0.228540,0.000000
109,0.986908,0.002830,0.272774,0.230757,0.000000
110,0.986669,0.002881,0.271264,0.232441,0.000000
111,0.986428,0.002933,0.269763,0.233700,0.000000
112,0.986185,0.002985,0.268272,0.234618,0.000000
