Metric,Solid_Baseline,Porous_Result,Change_Percent
CL,0.233760,0.236165,1.03%
CD,0.033264,0.033642,1.14%

Panel_ID,XC,YC,Cp_Solid,Cp_Porous,V_leakage
0,0.999999,0.000000,0.710346,0.711453,0.000000
1,0.999997,0.000001,0.696479,0.698086,0.000000
2,0.999993,0.000002,0.675599,0.677476,0.000000
3,0.999986,0.000003,0.655846,0.657897,0.000000
4,0.999978,0.000005,0.638567,0.640750,0.000000
5,0.999967,0.000007,0.623448,0.625743,0.000000
6,0.999953,0.000010,0.610049,0.612442,0.000000
7,0.999938,0.000014,0.598012,0.600494,0.000000
8,0.999920,0.000017,0.587072,0.589638,0.000000
9,0.999901,0.000022,0.577033,0.579677,0.000000
10,0.999879,0.000026,0.567744,0.570463,0.000000
11,0.999855,0.000032,0.559090,0.561881,0.000000
12,0.999828,0.000037,0.550980,0.553843,0.000000
13,0.999800,0.000044,0.543344,0.546276,0.000000
14,0.999769,0.000050,0.536122,0.539122,0.000000
15,0.999736,0.000057,0.529266,0.532334,0.000000
16,0.999701,0.000065,0.522736,0.525871,0.000000
17,0.999664,0.000073,0.516499,0.519702,0.000000
18,0.999624,0.000082,0.510526,0.513796,0.000000
19,0.999583,0.000091,0.504793,0.508131,0.000000
20,0.999539,0.000100,0.499278,0.502684,0.000000
21,0.999493,0.000111,0.493963,0.497439,0.000000
22,0.999445,0.000121,0.488831,0.492378,0.000000
23,0.999394,0.000132,0.483870,0.487488,0.000000
24,0.999342,0.000143,0.479066,0.482757,0.000000
25,0.999287,0.000155,0.474408,0.478173,0.000000
26,0.999230,0.000168,0.469886,0.473726,0.000000
27,0.999171,0.000181,0.465491,0.469409,0.000000
28,0.999109,0.000194,0.461215,0.465212,0.000000
29,0.999046,0.000208,0.457050,0.461128,0.000000
30,0.998980,0.000222,0.452991,0.457152,0.000000
31,0.998912,0.000237,0.449030,0.453277,0.000000
32,0.998842,0.000252,0.445163,0.449497,0.000000
33,0.998770,0.000268,0.441384,0.445809,0.000000
34,0.998695,0.000284,0.437689,0.442207,0.000000
35,0.998618,0.000301,0.434073,0.438687,0.000000
36,0.998539,0.000318,0.430532,0.435246,0.000000
37,0.998458,0.000336,0.427064,0.431879,0.000000
38,0.998375,0.000354,0.423663,0.428585,0.000000
39,0.998290,0.000372,0.420328,0.425359,0.000000
40,0.998202,0.000392,0.417055,0.422199,0.000000
41,0.998112,0.000411,0.413842,0.419104,0.000000
42,0.998020,0.000431,0.410685,0.416069,0.000000
43,0.997926,0.000452,0.407584,0.413094,0.000000
44,0.997830,0.000473,0.404534,0.410176,0.000000
45,0.997731,0.000494,0.401535,0.407313,0.000000
46,0.997630,0.000516,0.398584,0.404504,0.000000
47,0.997528,0.000538,0.395679,0.401747,0.000000
48,0.997422,0.000561,0.392819,0.399042,0.000000
49,0.997315,0.000584,0.390002,0.396386,0.000000
50,0.997206,0.000608,0.387227,0.393778,0.000000
51,0.997094,0.000632,0.384491,0.391218,0.000000
52,0.996980,0.000657,0.381794,0.388705,0.000000
53,0.996864,0.000682,0.379134,0.386238,0.000000
54,0.996746,0.000708,0.376511,0.383816,0.000000
55,0.996626,0.000734,0.373922,0.381438,0.000000
56,0.996503,0.000761,0.371366,0.379105,0.000000
57,0.996378,0.000788,0.368843,0.376815,0.000000
58,0.996252,0.000815,0.366352,0.374570,0.000000
59,0.996122,0.000843,0.363892,0.372368,0.000000
60,0.995991,0.000872,0.361461,0.370210,0.000000
61,0.995858,0.000901,0.359059,0.368097,0.000000
62,0.995722,0.000930,0.356684,0.366028,0.000000
63,0.995584,0.000960,0.354337,0.364004,0.000000
64,0.995444,0.000990,0.352016,0.362026,0.000000
65,0.995302,0.001021,0.349721,0.360095,0.000000
66,0.995158,0.001052,0.347451,0.358212,0.000000
67,0.995012,0.001084,0.345205,0.356380,0.000000
68,0.994863,0.001116,0.342982,0.354599,0.000000
69,0.994712,0.001149,0.340782,0.352873,0.000000
70,0.994559,0.001182,0.338605,0.351204,0.000000
71,0.994404,0.001216,0.336449,0.349595,0.000000
72,0.994247,0.001250,0.334315,0.348051,0.000000
73,0.994087,0.001284,0.332201,0.346577,0.000000
74,0.993926,0.001319,0.330107,0.345177,0.000000
75,0.993762,0.001355,0.328033,0.343861,0.000000
76,0.993596,0.001391,0.325979,0.342635,0.000000
77,0.993428,0.001427,0.323942,0.341511,0.000000
78,0.993257,0.001464,0.321924,0.340502,0.000000
79,0.993085,0.001501,0.319924,0.339624,0.000000
80,0.992910,0.001539,0.317942,0.338897,0.000000
81,0.992733,0.001577,0.315976,0.338348,0.000000
82,0.992554,0.001616,0.314027,0.338010,0.000000
83,0.992373,0.001655,0.312094,0.337927,0.000000
84,0.992190,0.001694,0.310178,0.338157,0.000000
85,0.992005,0.001734,0.308276,0.338781,0.000000
86,0.991817,0.001775,0.306390,0.339911,0.000000
87,0.991627,0.001816,0.304519,0.341709,0.000000
88,0.991435,0.001857,0.302663,0.344416,0.000000
89,0.991241,0.001899,0.300820,0.348411,0.000000
90,0.991045,0.001941,0.298992,0.354323,0.000000
91,0.990847,0.001984,0.297178,0.363279,0.000000
92,0.990646,0.002027,0.295376,0.377517,0.000000
93,0.990443,0.002071,0.293588,0.402222,0.000000
94,0.990239,0.002115,0.291813,0.452892,0.000000
95,0.990032,0.002159,0.290051,0.610435,0.000000
96,0.989822,0.002204,0.288301,0.287913,-3.546344
97,0.989611,0.002250,0.286563,-0.125430,0.000000
98,0.989398,0.002296,0.284837,0.105357,0.000000
