Metric,Solid_Baseline,Porous_Result,Change_Percent
CL,-0.228839,-0.226963,0.82%
CD,0.032959,0.033200,0.73%

Panel_ID,XC,YC,Cp_Solid,Cp_Porous,V_leakage
0,0.999999,0.000000,0.801172,0.802006,0.000000
1,0.999997,0.000001,0.732071,0.733450,0.000000
2,0.999993,0.000002,0.690985,0.692660,0.000000
3,0.999986,0.000003,0.664196,0.666049,0.000000
4,0.999978,0.000005,0.643905,0.645888,0.000000
5,0.999967,0.000007,0.627261,0.629350,0.000000
6,0.999953,0.000010,0.612988,0.615169,0.000000
7,0.999938,0.000014,0.600407,0.602672,0.000000
8,0.999920,0.000017,0.589107,0.591449,0.000000
9,0.999901,0.000022,0.578818,0.581233,0.000000
10,0.999879,0.000026,0.569350,0.571834,0.000000
11,0.999855,0.000032,0.560565,0.563116,0.000000
12,0.999828,0.000037,0.552359,0.554975,0.000000
13,0.999800,0.000044,0.544650,0.547330,0.000000
14,0.999769,0.000050,0.537374,0.540117,0.000000
15,0.999736,0.000057,0.530478,0.533283,0.000000
16,0.999701,0.000065,0.523919,0.526786,0.000000
17,0.999664,0.000073,0.517662,0.520591,0.000000
18,0.999624,0.000082,0.511677,0.514668,0.000000
19,0.999583,0.000091,0.505937,0.508990,0.000000
20,0.999539,0.000100,0.500420,0.503537,0.000000
21,0.999493,0.000111,0.495108,0.498289,0.000000
22,0.999445,0.000121,0.489984,0.493229,0.000000
23,0.999394,0.000132,0.485033,0.488344,0.000000
24,0.999342,0.000143,0.480242,0.483620,0.000000
25,0.999287,0.000155,0.475599,0.479046,0.000000
26,0.999230,0.000168,0.471096,0.474612,0.000000
27,0.999171,0.000181,0.466721,0.470308,0.000000
28,0.999109,0.000194,0.462467,0.466127,0.000000
29,0.999046,0.000208,0.458327,0.462062,0.000000
30,0.998980,0.000222,0.454294,0.458105,0.000000
31,0.998912,0.000237,0.450361,0.454250,0.000000
32,0.998842,0.000252,0.446523,0.450493,0.000000
33,0.998770,0.000268,0.442775,0.446828,0.000000
34,0.998695,0.000284,0.439111,0.443251,0.000000
35,0.998618,0.000301,0.435529,0.439757,0.000000
