--- POLAR SUMMARY ---
Alpha_deg,CL_Solid,CD_Solid,Large Ports_CL,Large Ports_CD,Large Ports_DeltaCL,Large Ports_PctChangeCL,Large Ports_PctChangeCD,Small Ports_CL,Small Ports_CD,Small Ports_DeltaCL,Small Ports_PctChangeCL,Small Ports_PctChangeCD
-5.00,-0.228839,0.032959,-0.224913,0.033093,0.003926,1.72,0.41,-0.226963,0.033200,0.001876,0.82,0.73
-4.00,-0.182946,0.028878,-0.179173,0.029061,0.003773,2.06,0.63,-0.181065,0.029150,0.001881,1.03,0.94
-3.00,-0.136805,0.025698,-0.133178,0.025925,0.003628,2.65,0.89,-0.134916,0.026001,0.001890,1.38,1.18
-2.00,-0.090479,0.023428,-0.086992,0.023695,0.003486,3.85,1.14,-0.088581,0.023762,0.001898,2.10,1.42
-1.00,-0.044028,0.022075,-0.040680,0.022377,0.003348,7.60,1.37,-0.042124,0.022438,0.001904,4.33,1.64
0.00,0.002483,0.021644,0.005697,0.021977,0.003214,129.44,1.54,0.004395,0.022036,0.001911,76.97,1.81
1.00,0.048993,0.022137,0.052071,0.022495,0.003078,6.28,1.62,0.050900,0.022552,0.001907,3.89,1.88
2.00,0.095438,0.023551,0.098381,0.023930,0.002943,3.08,1.61,0.097334,0.023987,0.001896,1.99,1.86
3.00,0.141755,0.025882,0.144522,0.026265,0.002767,1.95,1.48,0.143560,0.026308,0.001804,1.27,1.65
4.00,0.187883,0.029123,0.190469,0.029505,0.002585,1.38,1.31,0.189585,0.029533,0.001701,0.91,1.41
5.00,0.233760,0.033264,0.236165,0.033642,0.002405,1.03,1.14,0.235358,0.033657,0.001598,0.68,1.18
6.00,0.279324,0.038293,0.281549,0.038664,0.002225,0.80,0.97,0.280817,0.038667,0.001494,0.53,0.98
7.00,0.324514,0.044194,0.326561,0.044554,0.002047,0.63,0.81,0.325903,0.044549,0.001389,0.43,0.80
8.00,0.369271,0.050949,0.371141,0.051295,0.001870,0.51,0.68,0.370555,0.051283,0.001284,0.35,0.65
9.00,0.413537,0.058537,0.415233,0.058867,0.001696,0.41,0.56,0.414715,0.058849,0.001179,0.29,0.53
10.00,0.457253,0.066936,0.458778,0.067246,0.001524,0.33,0.46,0.458327,0.067225,0.001073,0.23,0.43
