Metric,Solid_Baseline,Porous_Result,Change_Percent
CL,0.279324,0.386973,38.54%
CD,0.038293,0.046281,20.86%

Panel_ID,XC,YC,Cp_Solid,Cp_Porous,V_leakage
0,0.999999,0.000000,0.701264,0.641569,-3.655562
1,0.999997,0.000001,0.693804,0.399981,0.000000
2,0.999993,0.000002,0.675123,0.483979,0.000000
3,0.999986,0.000003,0.656157,0.492460,0.000000
4,0.999978,0.000005,0.639242,0.490218,0.000000
5,0.999967,0.000007,0.624328,0.485033,0.000000
6,0.999953,0.000010,0.611062,0.478895,0.000000
7,0.999938,0.000014,0.599120,0.472501,0.000000
8,0.999920,0.000017,0.588254,0.466131,0.000000
9,0.999901,0.000022,0.578273,0.459904,0.000000
10,0.999879,0.000026,0.569033,0.453867,0.000000
11,0.999855,0.000032,0.560421,0.448038,0.000000
12,0.999828,0.000037,0.552349,0.442418,0.000000
13,0.999800,0.000044,0.544745,0.436999,0.000000
14,0.999769,0.000050,0.537553,0.431773,0.000000
15,0.999736,0.000057,0.530724,0.426728,0.000000
16,0.999701,0.000065,0.524219,0.421853,0.000000
17,0.999664,0.000073,0.518005,0.417137,0.000000
18,0.999624,0.000082,0.512053,0.412570,0.000000
19,0.999583,0.000091,0.506339,0.408142,0.000000
20,0.999539,0.000100,0.500843,0.403844,0.000000
21,0.999493,0.000111,0.495546,0.399668,0.000000
22,0.999445,0.000121,0.490431,0.395606,0.000000
23,0.999394,0.000132,0.485485,0.391653,0.000000
24,0.999342,0.000143,0.480696,0.387800,0.000000
25,0.999287,0.000155,0.476052,0.384043,0.000000
26,0.999230,0.000168,0.471543,0.380376,0.000000
27,0.999171,0.000181,0.467161,0.376794,0.000000
28,0.999109,0.000194,0.462897,0.373292,0.000000
29,0.999046,0.000208,0.458744,0.369867,0.000000
30,0.998980,0.000222,0.454695,0.366515,0.000000
31,0.998912,0.000237,0.450745,0.363231,0.000000
32,0.998842,0.000252,0.446888,0.360013,0.000000
33,0.998770,0.000268,0.443119,0.356858,0.000000
34,0.998695,0.000284,0.439433,0.353762,0.000000
35,0.998618,0.000301,0.435826,0.350723,0.000000
36,0.998539,0.000318,0.432293,0.347739,0.000000
37,0.998458,0.000336,0.428833,0.344806,0.000000
38,0.998375,0.000354,0.425440,0.341924,0.000000
39,0.998290,0.000372,0.422112,0.339089,0.000000
40,0.998202,0.000392,0.418847,0.336301,0.000000
41,0.998112,0.000411,0.415640,0.333556,0.000000
42,0.998020,0.000431,0.412490,0.330854,0.000000
43,0.997926,0.000452,0.409394,0.328192,0.000000
44,0.997830,0.000473,0.406351,0.325570,0.000000
45,0.997731,0.000494,0.403357,0.322986,0.000000
46,0.997630,0.000516,0.400411,0.320438,0.000000
47,0.997528,0.000538,0.397512,0.317925,0.000000
48,0.997422,0.000561,0.394657,0.315447,0.000000
49,0.997315,0.000584,0.391844,0.313001,0.000000
50,0.997206,0.000608,0.389073,0.310587,0.000000
51,0.997094,0.000632,0.386342,0.308204,0.000000
52,0.996980,0.000657,0.383649,0.305850,0.000000
53,0.996864,0.000682,0.380993,0.303525,0.000000
54,0.996746,0.000708,0.378373,0.301228,0.000000
55,0.996626,0.000734,0.375787,0.298958,0.000000
56,0.996503,0.000761,0.373235,0.296714,0.000000
57,0.996378,0.000788,0.370715,0.294496,0.000000
58,0.996252,0.000815,0.368227,0.292302,0.000000
59,0.996122,0.000843,0.365769,0.290132,0.000000
60,0.995991,0.000872,0.363341,0.287986,0.000000
61,0.995858,0.000901,0.360941,0.285862,0.000000
62,0.995722,0.000930,0.358569,0.283760,0.000000
63,0.995584,0.000960,0.356223,0.281679,0.000000
64,0.995444,0.000990,0.353904,0.279620,0.000000
65,0.995302,0.001021,0.351611,0.277580,0.000000
66,0.995158,0.001052,0.349342,0.275561,0.000000
67,0.995012,0.001084,0.347097,0.273560,0.000000
68,0.994863,0.001116,0.344876,0.271579,0.000000
69,0.994712,0.001149,0.342677,0.269615,0.000000
70,0.994559,0.001182,0.340501,0.267670,0.000000
71,0.994404,0.001216,0.338346,0.265742,0.000000
72,0.994247,0.001250,0.336212,0.263831,0.000000
73,0.994087,0.001284,0.334099,0.261936,0.000000
74,0.993926,0.001319,0.332005,0.260058,0.000000
