Metric,Solid_Baseline,Porous_Result,Change_Percent
CL,-0.230540,-0.035800,84.47%
CD,0.033361,0.022459,-32.68%

Panel_ID,XC,YC,Cp_Solid,Cp_Porous,V_leakage
0,0.999952,0.000011,0.609977,0.515297,-4.276497
1,0.999759,0.000053,0.534904,0.178714,0.000000
2,0.999374,0.000136,0.483559,0.253687,0.000000
3,0.998796,0.000262,0.444799,0.253733,0.000000
4,0.998026,0.000430,0.413378,0.242275,0.000000
5,0.997063,0.000639,0.386752,0.228203,0.000000
6,0.995909,0.000889,0.363511,0.213794,0.000000
7,0.994564,0.001181,0.342794,0.199747,0.000000
8,0.993029,0.001513,0.324036,0.186277,0.000000
9,0.991303,0.001885,0.306846,0.173427,0.000000
10,0.989388,0.002298,0.290942,0.161179,0.000000
11,0.987284,0.002750,0.276114,0.149492,0.000000
12,0.984992,0.003240,0.262199,0.138320,0.000000
13,0.982514,0.003769,0.249072,0.127617,0.000000
14,0.979849,0.004336,0.236632,0.117344,0.000000
15,0.976999,0.004941,0.224796,0.107461,0.000000
16,0.973966,0.005582,0.213498,0.097935,0.000000
17,0.970749,0.006258,0.202680,0.088738,0.000000
18,0.967352,0.006970,0.192297,0.079844,0.000000
19,0.963774,0.007716,0.182308,0.071228,0.000000
20,0.960017,0.008497,0.172678,0.062871,0.000000
21,0.956083,0.009309,0.163377,0.054755,0.000000
22,0.951973,0.010154,0.154380,0.046864,0.000000
23,0.947689,0.011030,0.145664,0.039183,0.000000
24,0.943232,0.011937,0.137209,0.031698,0.000000
25,0.938604,0.012873,0.128996,0.024399,0.000000
26,0.933808,0.013837,0.121011,0.017274,0.000000
27,0.928844,0.014829,0.113238,0.010313,0.000000
28,0.923714,0.015848,0.105665,0.003508,0.000000
29,0.918422,0.016892,0.098279,-0.003150,0.000000
30,0.912968,0.017961,0.091071,-0.009669,0.000000
31,0.907355,0.019054,0.084029,-0.016056,0.000000
32,0.901584,0.020170,0.077145,-0.022318,0.000000
33,0.895659,0.021307,0.070411,-0.028461,0.000000
34,0.889582,0.022465,0.063818,-0.034491,0.000000
35,0.883354,0.023643,0.057359,-0.040414,0.000000
