Metric,Solid_Baseline,Porous_Result,Change_Percent
CL,0.230543,0.373315,61.93%
CD,0.033361,0.043201,29.50%

Panel_ID,XC,YC,Cp_Solid,Cp_Porous,V_leakage
0,0.999952,0.000011,0.609946,0.541670,-3.120751
1,0.999759,0.000053,0.534759,0.284459,0.000000
2,0.999374,0.000136,0.483181,0.319269,0.000000
3,0.998796,0.000262,0.444101,0.307089,0.000000
4,0.998026,0.000430,0.412285,0.289176,0.000000
5,0.997063,0.000639,0.385197,0.270848,0.000000
6,0.995909,0.000889,0.361430,0.253248,0.000000
7,0.994564,0.001181,0.340129,0.236603,0.000000
8,0.993029,0.001513,0.320730,0.220894,0.000000
9,0.991303,0.001885,0.302846,0.206034,0.000000
10,0.989388,0.002298,0.286196,0.191927,0.000000
11,0.987284,0.002750,0.270572,0.178484,0.000000
12,0.984992,0.003240,0.255813,0.165626,0.000000
13,0.982514,0.003769,0.241795,0.153285,0.000000
14,0.979849,0.004336,0.228419,0.141402,0.000000
15,0.976999,0.004941,0.215603,0.129930,0.000000
16,0.973966,0.005582,0.203282,0.118824,0.000000
17,0.970749,0.006258,0.191400,0.108050,0.000000
18,0.967352,0.006970,0.179912,0.097575,0.000000
19,0.963774,0.007716,0.168778,0.087374,0.000000
20,0.960017,0.008497,0.157964,0.077421,0.000000
21,0.956083,0.009309,0.147442,0.067697,0.000000
22,0.951973,0.010154,0.137187,0.058183,0.000000
23,0.947689,0.011030,0.127177,0.048864,0.000000
24,0.943232,0.011937,0.117391,0.039724,0.000000
25,0.938604,0.012873,0.107814,0.030751,0.000000
26,0.933808,0.013837,0.098430,0.021933,0.000000
27,0.928844,0.014829,0.089225,0.013259,0.000000
28,0.923714,0.015848,0.080186,0.004721,0.000000
29,0.918422,0.016892,0.071303,-0.003691,0.000000
30,0.912968,0.017961,0.062565,-0.011986,0.000000
31,0.907355,0.019054,0.053962,-0.020170,0.000000
32,0.901584,0.020170,0.045486,-0.028251,0.000000
33,0.895659,0.021307,0.037128,-0.036236,0.000000
34,0.889582,0.022465,0.028881,-0.044130,0.000000
35,0.883354,0.023643,0.020738,-0.051941,0.000000
36,0.876979,0.024839,0.012691,-0.059674,0.000000
37,0.870458,0.026054,0.004734,-0.067334,0.000000
38,0.863794,0.027284,-0.003140,-0.074927,0.000000
39,0.856990,0.028531,-0.010936,-0.082458,0.000000
40,0.850049,0.029792,-0.018660,-0.089933,0.000000
41,0.842972,0.031066,-0.026319,-0.097356,0.000000
42,0.835763,0.032353,-0.033917,-0.104733,0.000000
43,0.828425,0.033652,-0.041460,-0.112069,0.000000
44,0.820960,0.034960,-0.048953,-0.119368,0.000000
45,0.813372,0.036278,-0.056402,-0.126634,0.000000
46,0.805662,0.037605,-0.063812,-0.133874,0.000000
47,0.797835,0.038938,-0.071188,-0.141092,0.000000
48,0.789893,0.040278,-0.078534,-0.148292,0.000000
49,0.781840,0.041623,-0.085857,-0.155479,0.000000
50,0.773677,0.042972,-0.093160,-0.162658,0.000000
51,0.765409,0.044324,-0.100448,-0.169834,0.000000
52,0.757039,0.045678,-0.107727,-0.177010,0.000000
53,0.748570,0.047032,-0.115000,-0.184193,0.000000
54,0.740004,0.048387,-0.122274,-0.191385,0.000000
55,0.731347,0.049740,-0.129551,-0.198592,0.000000
56,0.722600,0.051090,-0.136837,-0.205818,0.000000
57,0.713767,0.052437,-0.144136,-0.213067,0.000000
58,0.704852,0.053779,-0.151452,-0.220344,0.000000
59,0.695858,0.055116,-0.158789,-0.227653,0.000000
60,0.686788,0.056445,-0.166152,-0.234997,0.000000
61,0.677647,0.057767,-0.173545,-0.242382,0.000000
62,0.668437,0.059079,-0.180971,-0.249810,0.000000
63,0.659162,0.060381,-0.188435,-0.257287,0.000000
64,0.649825,0.061671,-0.195939,-0.264814,0.000000
65,0.640431,0.062949,-0.203487,-0.272396,0.000000
66,0.630983,0.064213,-0.211083,-0.280037,0.000000
67,0.621484,0.065461,-0.218730,-0.287738,0.000000
68,0.611939,0.066694,-0.226430,-0.295504,0.000000
69,0.602350,0.067908,-0.234186,-0.303337,0.000000
70,0.592722,0.069104,-0.242001,-0.311240,0.000000
71,0.583058,0.070280,-0.249877,-0.319215,0.000000
72,0.573362,0.071435,-0.257816,-0.327264,0.000000
73,0.563637,0.072567,-0.265819,-0.335390,0.000000
