--- POLAR SUMMARY ---
Alpha_deg,CL_Solid,CD_Solid,Large Ports_CL,Large Ports_CD,Large Ports_DeltaCL,Large Ports_PctChange,Small Ports_CL,Small Ports_CD,Small Ports_DeltaCL,Small Ports_PctChange
-5.00,-0.230540,0.033361,-0.035800,0.022459,0.194740,84.47,-0.124223,0.028596,0.106317,46.12
-4.00,-0.184806,0.029255,0.004517,0.021068,0.189323,102.44,-0.078608,0.025867,0.106198,57.46
-3.00,-0.138823,0.026049,0.045321,0.020422,0.184144,132.65,-0.032591,0.024022,0.106232,76.52
-2.00,-0.092653,0.023752,0.087721,0.020583,0.180373,194.68,0.015669,0.023148,0.108321,116.91
-1.00,-0.046357,0.022371,0.129187,0.021496,0.175544,378.68,0.062261,0.023137,0.108618,234.31
0.00,0.000002,0.021910,0.171868,0.023258,0.171866,10645363.40,0.110881,0.024153,0.110879,6867853.35
1.00,0.046360,0.022371,0.213480,0.025771,0.167120,360.48,0.157332,0.026001,0.110972,239.37
2.00,0.092656,0.023752,0.254988,0.029080,0.162332,175.20,0.203363,0.028749,0.110707,119.48
3.00,0.138826,0.026049,0.294697,0.033040,0.155871,112.28,0.245679,0.032095,0.106853,76.97
4.00,0.184809,0.029255,0.334155,0.037751,0.149346,80.81,0.287742,0.036257,0.102932,55.70
5.00,0.230543,0.033361,0.373315,0.043201,0.142772,61.93,0.329495,0.041224,0.098952,42.92
6.00,0.275966,0.038353,0.412130,0.049376,0.136164,49.34,0.370886,0.046982,0.094919,34.40
7.00,0.321019,0.044216,0.450555,0.056263,0.129537,40.35,0.411861,0.053514,0.090843,28.30
8.00,0.365640,0.050932,0.488545,0.063842,0.122905,33.61,0.452370,0.060802,0.086730,23.72
9.00,0.409773,0.058481,0.526057,0.072096,0.116284,28.38,0.492361,0.068825,0.082588,20.15
10.00,0.453360,0.066840,0.563047,0.081004,0.109688,24.19,0.531786,0.077559,0.078426,17.30
