--- DETAILED CP DISTRIBUTIONS (CAPTURED ANGLES) ---
Case_Name,Alpha_deg,Panel_XC,Cp_Solid,Cp_Porous,Leakage_Velocity
Radius 2.0mm,-5.0,0.999952,0.609977,0.613400,0.000000
Radius 2.0mm,-5.0,0.999759,0.534904,0.539171,0.000000
Radius 2.0mm,-5.0,0.999374,0.483559,0.488677,0.000000
Radius 2.0mm,-5.0,0.998796,0.444799,0.450945,0.000000
Radius 2.0mm,-5.0,0.998026,0.413378,0.420894,0.000000
Radius 2.0mm,-5.0,0.997063,0.386752,0.396226,0.000000
Radius 2.0mm,-5.0,0.995909,0.363511,0.375980,0.000000
Radius 2.0mm,-5.0,0.994564,0.342794,0.360244,0.000000
Radius 2.0mm,-5.0,0.993029,0.324036,0.351121,0.000000
Radius 2.0mm,-5.0,0.991303,0.306846,0.364469,0.000000
Radius 2.0mm,-5.0,0.989388,0.290942,0.286017,-0.580112
Radius 2.0mm,-5.0,0.987284,0.276114,0.212259,0.000000
Radius 2.0mm,-5.0,0.984992,0.262199,0.230134,0.000000
Radius 2.0mm,-5.0,0.982514,0.249072,0.226488,0.000000
Radius 2.0mm,-5.0,0.979849,0.236632,0.218532,0.000000
Radius 2.0mm,-5.0,0.976999,0.224796,0.209121,0.000000
Radius 2.0mm,-5.0,0.973966,0.213498,0.199083,0.000000
Radius 2.0mm,-5.0,0.970749,0.202680,0.188351,0.000000
Radius 2.0mm,-5.0,0.967352,0.192297,0.173852,0.000000
Radius 2.0mm,-5.0,0.963774,0.182308,0.176645,0.098978
Radius 2.0mm,-5.0,0.960017,0.172678,0.178835,0.000000
Radius 2.0mm,-5.0,0.956083,0.163377,0.164664,0.000000
Radius 2.0mm,-5.0,0.951973,0.154380,0.154468,0.000000
Radius 2.0mm,-5.0,0.947689,0.145664,0.145252,0.000000
Radius 2.0mm,-5.0,0.943232,0.137209,0.136575,0.000000
Radius 2.0mm,-5.0,0.938604,0.128996,0.128314,0.000000
Radius 2.0mm,-5.0,0.933808,0.121011,0.120415,0.000000
Radius 2.0mm,-5.0,0.928844,0.113238,0.112854,0.000000
Radius 2.0mm,-5.0,0.923714,0.105665,0.105424,-0.000808
Radius 2.0mm,-5.0,0.918422,0.098279,0.098210,0.000000
Radius 2.0mm,-5.0,0.912968,0.091071,0.091308,0.000000
Radius 2.0mm,-5.0,0.907355,0.084029,0.084567,0.000000
Radius 2.0mm,-5.0,0.901584,0.077145,0.078038,0.000000
Radius 2.0mm,-5.0,0.895659,0.070411,0.071781,0.000000
Radius 2.0mm,-5.0,0.889582,0.063818,0.065914,0.000000
Radius 2.0mm,-5.0,0.883354,0.057359,0.060799,0.000000
Radius 2.0mm,-5.0,0.876979,0.051027,0.058570,0.000000
Radius 2.0mm,-5.0,0.870458,0.044815,0.045308,-0.061407
Radius 2.0mm,-5.0,0.863794,0.038717,0.032302,0.000000
Radius 2.0mm,-5.0,0.856990,0.032727,0.030487,0.000000
Radius 2.0mm,-5.0,0.850049,0.026840,0.026104,0.000000
Radius 2.0mm,-5.0,0.842972,0.021049,0.021315,0.000000
Radius 2.0mm,-5.0,0.835763,0.015351,0.016545,0.000000
Radius 2.0mm,-5.0,0.828425,0.009739,0.012063,0.000000
Radius 2.0mm,-5.0,0.820960,0.004209,0.008392,0.000000
Radius 2.0mm,-5.0,0.813372,-0.001244,0.008373,0.000000
Radius 2.0mm,-5.0,0.805662,-0.006624,-0.006265,-0.078855
Radius 2.0mm,-5.0,0.797835,-0.011935,-0.020736,0.000000
Radius 2.0mm,-5.0,0.789893,-0.017182,-0.020485,0.000000
