--- POLAR SUMMARY ---
Alpha_deg,CL_Solid,CD_Solid,Radius 2.0mm_CL,Radius 2.0mm_CD,Radius 2.0mm_DeltaCL,Radius 2.0mm_PctChange,Radius 5.0mm_CL,Radius 5.0mm_CD,Radius 5.0mm_DeltaCL,Radius 5.0mm_PctChange
-5.00,-0.230540,0.033361,-0.228378,0.035431,0.002162,0.94,-0.201570,0.037916,0.028970,12.57
-4.00,-0.184806,0.029255,-0.183037,0.030849,0.001769,0.96,-0.161100,0.033722,0.023706,12.83
-3.00,-0.138823,0.026049,-0.137429,0.027267,0.001395,1.00,-0.120419,0.030440,0.018404,13.26
-2.00,-0.092653,0.023752,-0.091618,0.024698,0.001035,1.12,-0.079578,0.028077,0.013075,14.11
-1.00,-0.046357,0.022371,-0.045671,0.023150,0.000685,1.48,-0.038628,0.026638,0.007729,16.67
0.00,0.000002,0.021910,0.000344,0.022627,0.000342,0.00,0.002380,0.026127,0.002378,0.00
1.00,0.046360,0.022371,0.046360,0.023131,0.000000,0.00,0.043394,0.026546,-0.002967,-6.40
2.00,0.092656,0.023752,0.092311,0.024662,-0.000345,-0.37,0.084362,0.027895,-0.008293,-8.95
3.00,0.138826,0.026049,0.138129,0.027214,-0.000697,-0.50,0.125235,0.030172,-0.013592,-9.79
4.00,0.184809,0.029255,0.183748,0.030779,-0.001061,-0.57,0.165959,0.033373,-0.018851,-10.20
5.00,0.230543,0.033361,0.229102,0.035346,-0.001441,-0.62,0.206483,0.037491,-0.024060,-10.44
6.00,0.275966,0.038353,0.274125,0.040901,-0.001841,-0.67,0.246757,0.042521,-0.029209,-10.58
7.00,0.321019,0.044216,0.318753,0.047427,-0.002266,-0.71,0.286730,0.048452,-0.034289,-10.68
8.00,0.365640,0.050932,0.362922,0.054902,-0.002719,-0.74,0.326350,0.055272,-0.039290,-10.75
9.00,0.409773,0.058481,0.406569,0.063304,-0.003204,-0.78,0.365568,0.062969,-0.044205,-10.79
10.00,0.453360,0.066840,0.449635,0.072606,-0.003725,-0.82,0.404333,0.071528,-0.049026,-10.81
