--- GLOBAL RESULTS ---
Metric,Solid_Baseline,Porous_Result,Change_Percent
CL (Lift Coeff),0.275966,0.272174,-1.37%
CD (Drag Coeff),0.038353,0.041970,9.43%

--- PANEL DISTRIBUTION DATA ---
Panel_ID,XC,YC,Nx,Ny,Panel_Length,Cp_Solid,Cp_Porous,Cp_Difference,V_leakage
0,0.999952,0.000011,0.213008,0.977050,0.000099,0.611251,0.616764,0.005513,0.000000
1,0.999759,0.000053,0.212957,0.977062,0.000296,0.536306,0.542890,0.006584,0.000000
2,0.999374,0.000136,0.212855,0.977084,0.000493,0.484877,0.492305,0.007428,0.000000
3,0.998796,0.000262,0.212703,0.977117,0.000690,0.445897,0.454185,0.008289,0.000000
4,0.998026,0.000430,0.212500,0.977161,0.000887,0.414148,0.423497,0.009349,0.000000
5,0.997063,0.000639,0.212247,0.977216,0.001083,0.387103,0.397930,0.010827,0.000000
6,0.995909,0.000889,0.211944,0.977282,0.001279,0.363364,0.376430,0.013066,0.000000
7,0.994564,0.001181,0.211592,0.977358,0.001474,0.342075,0.358744,0.016668,0.000000
8,0.993029,0.001513,0.211191,0.977445,0.001669,0.322677,0.345661,0.022984,0.000000
9,0.991303,0.001885,0.210742,0.977542,0.001862,0.304783,0.347007,0.042223,0.000000
10,0.989388,0.002298,0.210245,0.977649,0.002056,0.288114,0.276416,-0.011698,-0.425745
11,0.987284,0.002750,0.209701,0.977765,0.002248,0.272462,0.212246,-0.060216,0.000000
12,0.984992,0.003240,0.209112,0.977892,0.002439,0.257668,0.220229,-0.037438,0.000000
13,0.982514,0.003769,0.208477,0.978027,0.002630,0.243607,0.213084,-0.030523,0.000000
14,0.979849,0.004336,0.207797,0.978172,0.002819,0.230181,0.202284,-0.027897,0.000000
15,0.976999,0.004941,0.207075,0.978325,0.003007,0.217310,0.189452,-0.027857,0.000000
16,0.973966,0.005582,0.206309,0.978487,0.003194,0.204927,0.174452,-0.030474,0.000000
17,0.970749,0.006258,0.205503,0.978657,0.003379,0.192978,0.154852,-0.038126,0.000000
18,0.967352,0.006970,0.204656,0.978834,0.003564,0.181416,0.113797,-0.067619,0.000000
19,0.963774,0.007716,0.203769,0.979019,0.003746,0.170203,0.160617,-0.009586,0.492965
20,0.960017,0.008497,0.202845,0.979211,0.003927,0.159306,0.202987,0.043680,0.000000
21,0.956083,0.009309,0.201883,0.979410,0.004107,0.148696,0.163760,0.015064,0.000000
22,0.951973,0.010154,0.200885,0.979615,0.004285,0.138348,0.144197,0.005849,0.000000
23,0.947689,0.011030,0.199853,0.979826,0.004461,0.128240,0.128716,0.000476,0.000000
24,0.943232,0.011937,0.198787,0.980043,0.004635,0.118352,0.114418,-0.003934,0.000000
25,0.938604,0.012873,0.197688,0.980265,0.004808,0.108669,0.099815,-0.008854,0.000000
26,0.933808,0.013837,0.196558,0.980492,0.004978,0.099174,0.082535,-0.016639,0.000000
27,0.928844,0.014829,0.195398,0.980724,0.005146,0.089854,0.050378,-0.039475,0.000000
28,0.923714,0.015848,0.194208,0.980960,0.005313,0.080697,0.080573,-0.000123,0.337737
29,0.918422,0.016892,0.192991,0.981201,0.005477,0.071691,0.109074,0.037383,0.000000
30,0.912968,0.017961,0.191746,0.981445,0.005639,0.062826,0.078481,0.015655,0.000000
31,0.907355,0.019054,0.190475,0.981692,0.005798,0.054093,0.062415,0.008322,0.000000
32,0.901584,0.020170,0.189179,0.981943,0.005956,0.045483,0.049434,0.003951,0.000000
33,0.895659,0.021307,0.187859,0.982196,0.006111,0.036988,0.037393,0.000405,0.000000
34,0.889582,0.022465,0.186515,0.982452,0.006263,0.028599,0.025214,-0.003386,0.000000
35,0.883354,0.023643,0.185149,0.982710,0.006413,0.020311,0.011272,-0.009039,0.000000
36,0.876979,0.024839,0.183761,0.982971,0.006561,0.012115,-0.012581,-0.024696,0.000000
37,0.870458,0.026054,0.182352,0.983233,0.006705,0.004006,0.005170,0.001164,0.218723
38,0.863794,0.027284,0.180922,0.983497,0.006847,-0.004023,0.022228,0.026251,0.000000
39,0.856990,0.028531,0.179471,0.983763,0.006987,-0.011978,-0.000903,0.011075,0.000000
40,0.850049,0.029792,0.178001,0.984030,0.007123,-0.019865,-0.014237,0.005627,0.000000
41,0.842972,0.031066,0.176512,0.984299,0.007257,-0.027689,-0.025601,0.002088,0.000000
42,0.835763,0.032353,0.175002,0.984568,0.007388,-0.035457,-0.036528,-0.001071,0.000000
43,0.828425,0.033652,0.173474,0.984838,0.007516,-0.043173,-0.047936,-0.004763,0.000000
44,0.820960,0.034960,0.171926,0.985110,0.007641,-0.050844,-0.061520,-0.010676,0.000000
45,0.813372,0.036278,0.170359,0.985382,0.007763,-0.058474,-0.086333,-0.027859,0.000000
46,0.805662,0.037605,0.168772,0.985655,0.007882,-0.066068,-0.064755,0.001313,0.236825
47,0.797835,0.038938,0.167165,0.985929,0.007998,-0.073632,-0.043852,0.029780,0.000000
48,0.789893,0.040278,0.165538,0.986203,0.008111,-0.081170,-0.068121,0.013049,0.000000
49,0.781840,0.041623,0.163889,0.986479,0.008220,-0.088689,-0.081427,0.007262,0.000000
50,0.773677,0.042972,0.162219,0.986755,0.008326,-0.096192,-0.092498,0.003694,0.000000
51,0.765409,0.044324,0.160526,0.987032,0.008429,-0.103685,-0.102969,0.000717,0.000000
52,0.757039,0.045678,0.158809,0.987309,0.008529,-0.111173,-0.113676,-0.002503,0.000000
53,0.748570,0.047032,0.157068,0.987588,0.008625,-0.118660,-0.125935,-0.007275,0.000000
54,0.740004,0.048387,0.155301,0.987867,0.008718,-0.126151,-0.146412,-0.020261,0.000000
55,0.731347,0.049740,0.153507,0.988148,0.008808,-0.133651,-0.132903,0.000747,0.169076
56,0.722600,0.051090,0.151683,0.988429,0.008894,-0.141165,-0.119712,0.021453,0.000000
57,0.713767,0.052437,0.149830,0.988712,0.008976,-0.148696,-0.139994,0.008702,0.000000
58,0.704852,0.053779,0.147945,0.988996,0.009055,-0.156251,-0.152233,0.004018,0.000000
59,0.695858,0.055116,0.146026,0.989281,0.009131,-0.163832,-0.162920,0.000912,0.000000
60,0.686788,0.056445,0.144071,0.989567,0.009202,-0.171445,-0.173309,-0.001864,0.000000
61,0.677647,0.057767,0.142078,0.989855,0.009271,-0.179094,-0.184124,-0.005030,0.000000
62,0.668437,0.059079,0.140045,0.990145,0.009335,-0.186782,-0.196646,-0.009864,0.000000
63,0.659162,0.060381,0.137970,0.990436,0.009396,-0.194514,-0.217610,-0.023096,0.000000
64,0.649825,0.061671,0.135851,0.990729,0.009454,-0.202293,-0.204272,-0.001978,0.166450
65,0.640431,0.062949,0.133684,0.991024,0.009507,-0.210124,-0.191255,0.018868,0.000000
66,0.630983,0.064213,0.131467,0.991321,0.009557,-0.218009,-0.212427,0.005583,0.000000
67,0.621484,0.065461,0.129198,0.991619,0.009604,-0.225953,-0.225610,0.000343,0.000000
68,0.611939,0.066694,0.126874,0.991919,0.009646,-0.233958,-0.237489,-0.003530,0.000000
69,0.602350,0.067908,0.124492,0.992221,0.009685,-0.242028,-0.249514,-0.007485,0.000000
70,0.592722,0.069104,0.122048,0.992524,0.009720,-0.250165,-0.262848,-0.012682,0.000000
71,0.583058,0.070280,0.119541,0.992829,0.009751,-0.258372,-0.280152,-0.021779,0.000000
72,0.573362,0.071435,0.116966,0.993136,0.009778,-0.266652,-0.316432,-0.049780,0.000000
73,0.563637,0.072567,0.114320,0.993444,0.009802,-0.275006,-0.275886,-0.000880,0.360240
74,0.553889,0.073676,0.111601,0.993753,0.009821,-0.283437,-0.236170,0.047267,0.000000
75,0.544119,0.074759,0.108804,0.994063,0.009837,-0.291945,-0.272000,0.019945,0.000000
76,0.534332,0.075816,0.105927,0.994374,0.009850,-0.300534,-0.289698,0.010836,0.000000
77,0.524533,0.076845,0.102966,0.994685,0.009858,-0.309203,-0.303710,0.005493,0.000000
78,0.514723,0.077845,0.099918,0.994996,0.009862,-0.317954,-0.316643,0.001311,0.000000
79,0.504908,0.078815,0.096779,0.995306,0.009863,-0.326787,-0.329651,-0.002864,0.000000
80,0.495092,0.079753,0.093544,0.995615,0.009860,-0.335702,-0.344185,-0.008483,0.000000
81,0.485277,0.080659,0.090212,0.995923,0.009853,-0.344700,-0.366978,-0.022278,0.000000
82,0.475467,0.081531,0.086777,0.996228,0.009843,-0.353780,-0.355997,-0.002217,0.155061
83,0.465668,0.082367,0.083237,0.996530,0.009828,-0.362940,-0.345143,0.017797,0.000000
84,0.455881,0.083166,0.079588,0.996828,0.009810,-0.372181,-0.368315,0.003866,0.000000
85,0.446111,0.083928,0.075825,0.997121,0.009788,-0.381500,-0.383699,-0.002198,0.000000
86,0.436363,0.084650,0.071944,0.997409,0.009763,-0.390896,-0.398009,-0.007113,0.000000
87,0.426638,0.085332,0.067943,0.997689,0.009734,-0.400367,-0.412845,-0.012478,0.000000
88,0.416942,0.085972,0.063817,0.997962,0.009701,-0.409909,-0.429738,-0.019830,0.000000
89,0.407278,0.086569,0.059563,0.998225,0.009664,-0.419520,-0.452512,-0.032993,0.000000
90,0.397650,0.087123,0.055175,0.998477,0.009624,-0.429196,-0.503137,-0.073941,0.000000
91,0.388061,0.087631,0.050651,0.998716,0.009580,-0.438934,-0.441465,-0.002531,0.495444
92,0.378516,0.088093,0.045987,0.998942,0.009533,-0.448729,-0.380769,0.067959,0.000000
93,0.369017,0.088507,0.041177,0.999152,0.009482,-0.458576,-0.430511,0.028066,0.000000
94,0.359569,0.088873,0.036218,0.999344,0.009428,-0.468471,-0.453811,0.014661,0.000000
95,0.350175,0.089189,0.031107,0.999516,0.009371,-0.478409,-0.471720,0.006689,0.000000
96,0.340838,0.089455,0.025838,0.999666,0.009310,-0.488381,-0.488062,0.000319,0.000000
97,0.331563,0.089670,0.020407,0.999792,0.009245,-0.498384,-0.504581,-0.006197,0.000000
98,0.322353,0.089832,0.014811,0.999890,0.009178,-0.508409,-0.523594,-0.015185,0.000000
99,0.313212,0.089941,0.009044,0.999959,0.009107,-0.518449,-0.556093,-0.037644,0.000000
100,0.304142,0.089997,0.003101,0.999995,0.009033,-0.528496,-0.533382,-0.004886,0.238464
101,0.295148,0.089997,-0.003021,0.999995,0.008955,-0.538543,-0.510635,0.027908,0.000000
102,0.286233,0.089942,-0.009328,0.999956,0.008875,-0.548580,-0.543581,0.004998,0.000000
103,0.277400,0.089831,-0.015825,0.999875,0.008792,-0.558597,-0.563804,-0.005207,0.000000
104,0.268653,0.089664,-0.022517,0.999746,0.008705,-0.568586,-0.582333,-0.013747,0.000000
105,0.259996,0.089439,-0.029410,0.999567,0.008616,-0.578535,-0.601927,-0.023392,0.000000
106,0.251430,0.089157,-0.036510,0.999333,0.008524,-0.588434,-0.625448,-0.037014,0.000000
107,0.242961,0.088816,-0.043822,0.999039,0.008429,-0.598271,-0.660299,-0.062028,0.000000
