--- DETAILED CP DISTRIBUTIONS (CAPTURED ANGLES) ---
Case_Name,Alpha_deg,Panel_XC,Cp_Solid,Cp_Porous,Leakage_Velocity
Radius 2.0mm,-5.0,0.999952,0.609977,0.616654,0.000000
Radius 2.0mm,-5.0,0.999759,0.534904,0.543043,0.000000
Radius 2.0mm,-5.0,0.999374,0.483559,0.492929,0.000000
Radius 2.0mm,-5.0,0.998796,0.444799,0.455386,0.000000
Radius 2.0mm,-5.0,0.998026,0.413378,0.425306,0.000000
Radius 2.0mm,-5.0,0.997063,0.386752,0.400278,0.000000
Radius 2.0mm,-5.0,0.995909,0.363511,0.379072,0.000000
Radius 2.0mm,-5.0,0.994564,0.342794,0.361156,0.000000
Radius 2.0mm,-5.0,0.993029,0.324036,0.346746,0.000000
Radius 2.0mm,-5.0,0.991303,0.306846,0.338980,0.000000
Radius 2.0mm,-5.0,0.989388,0.290942,0.322816,-0.092580
Radius 2.0mm,-5.0,0.987284,0.276114,0.298964,-0.090862
Radius 2.0mm,-5.0,0.984992,0.262199,0.280869,-0.089512
Radius 2.0mm,-5.0,0.982514,0.249072,0.264961,-0.088328
Radius 2.0mm,-5.0,0.979849,0.236632,0.250393,-0.087257
Radius 2.0mm,-5.0,0.976999,0.224796,0.236801,-0.086277
Radius 2.0mm,-5.0,0.973966,0.213498,0.223982,-0.085373
Radius 2.0mm,-5.0,0.970749,0.202680,0.211803,-0.084535
Radius 2.0mm,-5.0,0.967352,0.192297,0.200171,-0.083757
Radius 2.0mm,-5.0,0.963774,0.182308,0.189014,-0.083032
Radius 2.0mm,-5.0,0.960017,0.172678,0.178278,-0.082356
Radius 2.0mm,-5.0,0.956083,0.163377,0.167914,-0.081726
Radius 2.0mm,-5.0,0.951973,0.154380,0.157884,-0.081138
Radius 2.0mm,-5.0,0.947689,0.145664,0.148154,-0.080589
Radius 2.0mm,-5.0,0.943232,0.137209,0.138694,-0.080076
Radius 2.0mm,-5.0,0.938604,0.128996,0.129478,-0.079598
Radius 2.0mm,-5.0,0.933808,0.121011,0.120480,-0.079152
Radius 2.0mm,-5.0,0.928844,0.113238,0.111677,-0.078737
Radius 2.0mm,-5.0,0.923714,0.105665,0.103047,-0.078350
Radius 2.0mm,-5.0,0.918422,0.098279,0.094566,-0.077990
Radius 2.0mm,-5.0,0.912968,0.091071,0.086213,-0.077655
Radius 2.0mm,-5.0,0.907355,0.084029,0.077960,-0.077343
Radius 2.0mm,-5.0,0.901584,0.077145,0.069781,-0.077052
Radius 2.0mm,-5.0,0.895659,0.070411,0.061642,-0.076780
Radius 2.0mm,-5.0,0.889582,0.063818,0.053499,-0.076523
Radius 2.0mm,-5.0,0.883354,0.057359,0.045294,-0.076278
Radius 2.0mm,-5.0,0.876979,0.051027,0.036938,-0.076039
Radius 2.0mm,-5.0,0.870458,0.044815,0.028282,-0.075795
Radius 2.0mm,-5.0,0.863794,0.038717,0.019035,-0.075527
Radius 2.0mm,-5.0,0.856990,0.032727,0.008456,-0.075185
Radius 2.0mm,-5.0,0.850049,0.026840,-0.006812,-0.074545
Radius 2.0mm,-5.0,0.842972,0.021049,-0.012849,0.000000
Radius 2.0mm,-5.0,0.835763,0.015351,-0.009878,0.000000
Radius 2.0mm,-5.0,0.828425,0.009739,-0.011641,0.000000
Radius 2.0mm,-5.0,0.820960,0.004209,-0.014748,0.000000
Radius 2.0mm,-5.0,0.813372,-0.001244,-0.018472,0.000000
Radius 2.0mm,-5.0,0.805662,-0.006624,-0.022532,0.000000
Radius 2.0mm,-5.0,0.797835,-0.011935,-0.026794,0.000000
Radius 2.0mm,-5.0,0.789893,-0.017182,-0.031181,0.000000
Radius 2.0mm,-5.0,0.781840,-0.022368,-0.035648,0.000000
Radius 2.0mm,-5.0,0.773677,-0.027497,-0.040167,0.000000
Radius 2.0mm,-5.0,0.765409,-0.032573,-0.044717,0.000000
Radius 2.0mm,-5.0,0.757039,-0.037599,-0.049286,0.000000
Radius 2.0mm,-5.0,0.748570,-0.042579,-0.053865,0.000000
Radius 2.0mm,-5.0,0.740004,-0.047516,-0.058448,0.000000
Radius 2.0mm,-5.0,0.731347,-0.052412,-0.063029,0.000000
Radius 2.0mm,-5.0,0.722600,-0.057271,-0.067607,0.000000
Radius 2.0mm,-5.0,0.713767,-0.062095,-0.072178,0.000000
Radius 2.0mm,-5.0,0.704852,-0.066886,-0.076742,0.000000
Radius 2.0mm,-5.0,0.695858,-0.071647,-0.081298,0.000000
Radius 2.0mm,-5.0,0.686788,-0.076380,-0.085844,0.000000
Radius 2.0mm,-5.0,0.677647,-0.081086,-0.090381,0.000000
Radius 2.0mm,-5.0,0.668437,-0.085767,-0.094908,0.000000
Radius 2.0mm,-5.0,0.659162,-0.090425,-0.099426,0.000000
Radius 2.0mm,-5.0,0.649825,-0.095060,-0.103933,0.000000
Radius 2.0mm,-5.0,0.640431,-0.099673,-0.108429,0.000000
Radius 2.0mm,-5.0,0.630983,-0.104265,-0.112915,0.000000
Radius 2.0mm,-5.0,0.621484,-0.108835,-0.117389,0.000000
Radius 2.0mm,-5.0,0.611939,-0.113386,-0.121851,0.000000
Radius 2.0mm,-5.0,0.602350,-0.117915,-0.126299,0.000000
Radius 2.0mm,-5.0,0.592722,-0.122422,-0.130733,0.000000
Radius 2.0mm,-5.0,0.583058,-0.126906,-0.135152,0.000000
Radius 2.0mm,-5.0,0.573362,-0.131367,-0.139553,0.000000
Radius 2.0mm,-5.0,0.563637,-0.135803,-0.143935,0.000000
Radius 2.0mm,-5.0,0.553889,-0.140211,-0.148295,0.000000
Radius 2.0mm,-5.0,0.544119,-0.144590,-0.152632,0.000000
Radius 2.0mm,-5.0,0.534332,-0.148937,-0.156941,0.000000
Radius 2.0mm,-5.0,0.524533,-0.153249,-0.161221,0.000000
Radius 2.0mm,-5.0,0.514723,-0.157523,-0.165466,0.000000
Radius 2.0mm,-5.0,0.504908,-0.161754,-0.169674,0.000000
Radius 2.0mm,-5.0,0.495092,-0.165940,-0.173841,0.000000
Radius 2.0mm,-5.0,0.485277,-0.170075,-0.177960,0.000000
Radius 2.0mm,-5.0,0.475467,-0.174154,-0.182029,0.000000
Radius 2.0mm,-5.0,0.465668,-0.178173,-0.186040,0.000000
Radius 2.0mm,-5.0,0.455881,-0.182124,-0.189988,0.000000
Radius 2.0mm,-5.0,0.446111,-0.186003,-0.193866,0.000000
Radius 2.0mm,-5.0,0.436363,-0.189801,-0.197668,0.000000
Radius 2.0mm,-5.0,0.426638,-0.193513,-0.201387,0.000000
Radius 2.0mm,-5.0,0.416942,-0.197130,-0.205015,0.000000
Radius 2.0mm,-5.0,0.407278,-0.200644,-0.208543,0.000000
Radius 2.0mm,-5.0,0.397650,-0.204047,-0.211963,0.000000
Radius 2.0mm,-5.0,0.388061,-0.207329,-0.215266,0.000000
Radius 2.0mm,-5.0,0.378516,-0.210481,-0.218441,0.000000
Radius 2.0mm,-5.0,0.369017,-0.213493,-0.221480,0.000000
Radius 2.0mm,-5.0,0.359569,-0.216353,-0.224370,0.000000
Radius 2.0mm,-5.0,0.350175,-0.219051,-0.227101,0.000000
Radius 2.0mm,-5.0,0.340838,-0.221575,-0.229661,0.000000
Radius 2.0mm,-5.0,0.331563,-0.223911,-0.232037,0.000000
Radius 2.0mm,-5.0,0.322353,-0.226048,-0.234216,0.000000
Radius 2.0mm,-5.0,0.313212,-0.227972,-0.236185,0.000000
