--- POLAR SUMMARY ---
Alpha_deg,CL_Solid,CD_Solid,Radius 2.0mm_CL,Radius 2.0mm_CD,Radius 2.0mm_DeltaCL,Radius 2.0mm_PctChange,Radius 1.0mm_CL,Radius 1.0mm_CD,Radius 1.0mm_DeltaCL,Radius 1.0mm_PctChange
-5.00,-0.230540,0.033361,-0.161922,0.041750,0.068618,29.76,-0.210732,0.035901,0.019807,8.59
-4.00,-0.184806,0.029255,-0.119487,0.037970,0.065319,35.34,-0.165923,0.031888,0.018883,10.22
-3.00,-0.138823,0.026049,-0.076824,0.035011,0.061999,44.66,-0.120872,0.028752,0.017952,12.93
-2.00,-0.092653,0.023752,-0.033988,0.032884,0.058665,63.32,-0.075638,0.026503,0.017015,18.36
-1.00,-0.046357,0.022371,0.008966,0.031596,0.055323,119.34,-0.030282,0.025149,0.016075,34.68
0.00,0.000002,0.021910,0.051982,0.031153,0.051980,0.00,0.015136,0.024693,0.015134,0.00
1.00,0.046360,0.022371,0.095004,0.031557,0.048644,104.93,0.060555,0.025138,0.014195,30.62
2.00,0.092656,0.023752,0.137976,0.032809,0.045320,48.91,0.105915,0.026483,0.013259,14.31
3.00,0.138826,0.026049,0.180843,0.034905,0.042017,30.27,0.151155,0.028724,0.012328,8.88
4.00,0.184809,0.029255,0.223549,0.037843,0.038739,20.96,0.196214,0.031854,0.011405,6.17
5.00,0.230543,0.033361,0.266037,0.041613,0.035494,15.40,0.241034,0.035865,0.010491,4.55
6.00,0.275966,0.038353,0.308254,0.046207,0.032288,11.70,0.285555,0.040745,0.009588,3.47
7.00,0.321019,0.044216,0.350145,0.051611,0.029126,9.07,0.329717,0.046480,0.008699,2.71
8.00,0.365640,0.050932,0.391655,0.057812,0.026015,7.11,0.373464,0.053052,0.007824,2.14
9.00,0.409773,0.058481,0.432733,0.064792,0.022960,5.60,0.416739,0.060441,0.006966,1.70
10.00,0.453360,0.066840,0.473325,0.072531,0.019966,4.40,0.459485,0.068627,0.006126,1.35
