--- GLOBAL RESULTS ---
Metric,Solid_Baseline,Porous_Result,Change_Percent
CL (Lift Coeff),0.275966,0.275872,-0.03%
CD (Drag Coeff),0.038353,0.038357,0.01%

--- PANEL DISTRIBUTION DATA ---
Panel_ID,XC,YC,Nx,Ny,Panel_Length,Cp_Solid,Cp_Porous,Cp_Difference,V_leakage
0,0.999952,0.000011,0.213008,0.977050,0.000099,0.611251,0.611369,0.000117,0.000000
1,0.999759,0.000053,0.212957,0.977062,0.000296,0.536306,0.536466,0.000160,0.000000
2,0.999374,0.000136,0.212855,0.977084,0.000493,0.484877,0.485094,0.000217,0.000000
3,0.998796,0.000262,0.212703,0.977117,0.000690,0.445897,0.446194,0.000298,0.000000
4,0.998026,0.000430,0.212500,0.977161,0.000887,0.414148,0.414560,0.000412,0.000000
5,0.997063,0.000639,0.212247,0.977216,0.001083,0.387103,0.387682,0.000579,0.000000
6,0.995909,0.000889,0.211944,0.977282,0.001279,0.363364,0.364194,0.000830,0.000000
7,0.994564,0.001181,0.211592,0.977358,0.001474,0.342075,0.343308,0.001232,0.000000
8,0.993029,0.001513,0.211191,0.977445,0.001669,0.322677,0.324635,0.001958,0.000000
9,0.991303,0.001885,0.210742,0.977542,0.001862,0.304783,0.308620,0.003837,0.000000
10,0.989388,0.002298,0.210245,0.977649,0.002056,0.288114,0.291245,0.003130,-0.021985
11,0.987284,0.002750,0.209701,0.977765,0.002248,0.272462,0.272775,0.000313,-0.019344
12,0.984992,0.003240,0.209112,0.977892,0.002439,0.257668,0.256600,-0.001068,-0.016971
13,0.982514,0.003769,0.208477,0.978027,0.002630,0.243607,0.241612,-0.001996,-0.014750
14,0.979849,0.004336,0.207797,0.978172,0.002819,0.230181,0.227492,-0.002689,-0.012641
15,0.976999,0.004941,0.207075,0.978325,0.003007,0.217310,0.214075,-0.003234,-0.010623
16,0.973966,0.005582,0.206309,0.978487,0.003194,0.204927,0.201252,-0.003674,-0.008682
17,0.970749,0.006258,0.205503,0.978657,0.003379,0.192978,0.188944,-0.004033,-0.006806
18,0.967352,0.006970,0.204656,0.978834,0.003564,0.181416,0.177091,-0.004325,-0.004986
19,0.963774,0.007716,0.203769,0.979019,0.003746,0.170203,0.165643,-0.004561,-0.003214
20,0.960017,0.008497,0.202845,0.979211,0.003927,0.159306,0.154561,-0.004746,-0.001483
21,0.956083,0.009309,0.201883,0.979410,0.004107,0.148696,0.143812,-0.004884,0.000211
22,0.951973,0.010154,0.200885,0.979615,0.004285,0.138348,0.133369,-0.004979,0.001874
23,0.947689,0.011030,0.199853,0.979826,0.004461,0.128240,0.123207,-0.005032,0.003509
24,0.943232,0.011937,0.198787,0.980043,0.004635,0.118352,0.113308,-0.005044,0.005121
25,0.938604,0.012873,0.197688,0.980265,0.004808,0.108669,0.103654,-0.005015,0.006713
26,0.933808,0.013837,0.196558,0.980492,0.004978,0.099174,0.094231,-0.004943,0.008287
27,0.928844,0.014829,0.195398,0.980724,0.005146,0.089854,0.085027,-0.004826,0.009847
